virus_taxid,virus,virus_family,virus_genus,human_to_human,zoonotic_relaxed,zoonotic_strict
1172985,jingmen tick virus,Flaviviridae,Jingmenvirus,0,1,1
2269360,alongshan virus,Flaviviridae,,0,1,1
172148,alkhumra hemorrhagic fever virus,Flaviviridae,Orthoflavivirus,0,1,1
64280,apoi virus,Flaviviridae,Orthoflavivirus,0,1,1
64303,aroa virus,Flaviviridae,Orthoflavivirus,0,1,1
64290,bagaza virus,Flaviviridae,Orthoflavivirus,0,1,1
64305,cacipacore virus,Flaviviridae,Orthoflavivirus,0,1,1
12637,dengue virus,Flaviviridae,Orthoflavivirus,1,1,1
11053,dengue virus type 1,Flaviviridae,Orthoflavivirus,1,1,1
11060,dengue virus type 2,Flaviviridae,Orthoflavivirus,1,1,1
11069,dengue virus type 3,Flaviviridae,Orthoflavivirus,1,1,1
11070,dengue virus type 4,Flaviviridae,Orthoflavivirus,1,1,1
59563,ilheus virus,Flaviviridae,Orthoflavivirus,0,1,1
11072,japanese encephalitis virus,Flaviviridae,Orthoflavivirus,0,1,1
64311,kedougou virus,Flaviviridae,Orthoflavivirus,0,0,0
44024,kokobera virus,Flaviviridae,Orthoflavivirus,0,1,1
44025,koutango virus,Flaviviridae,Orthoflavivirus,0,1,1
11077,kunjin virus,Flaviviridae,Orthoflavivirus,0,1,1
33743,kyasanur forest disease virus,Flaviviridae,Orthoflavivirus,0,1,1
11085,langat virus,Flaviviridae,Orthoflavivirus,0,1,1
11086,louping ill virus,Flaviviridae,Orthoflavivirus,0,1,1
64300,modoc virus,Flaviviridae,Orthoflavivirus,0,1,1
64312,montana myotis leukoencephalitis virus,Flaviviridae,Orthoflavivirus,0,1,1
11079,murray valley encephalitis virus,Flaviviridae,Orthoflavivirus,0,1,1
64292,ntaya virus,Flaviviridae,Orthoflavivirus,0,0,0
12542,omsk hemorrhagic fever virus,Flaviviridae,Orthoflavivirus,0,1,1
11083,powassan virus,Flaviviridae,Orthoflavivirus,0,1,1
64285,rio bravo virus,Flaviviridae,Orthoflavivirus,0,1,1
64315,rocio virus,Flaviviridae,Orthoflavivirus,0,1,1
44026,sepik virus,Flaviviridae,Orthoflavivirus,0,1,1
64318,spondweni virus,Flaviviridae,Orthoflavivirus,0,1,1
11080,st. louis encephalitis virus,Flaviviridae,Orthoflavivirus,0,1,1
64293,tembusu virus,Flaviviridae,Orthoflavivirus,0,1,1
11084,tick-borne encephalitis virus,Flaviviridae,Orthoflavivirus,0,1,1
64286,usutu virus,Flaviviridae,Orthoflavivirus,0,1,1
164416,wesselsbron virus,Flaviviridae,Orthoflavivirus,0,1,1
11082,west nile virus,Flaviviridae,Orthoflavivirus,0,1,1
11089,yellow fever virus,Flaviviridae,Orthoflavivirus,1,1,1
64320,zika virus,Flaviviridae,Orthoflavivirus,1,1,1
41856,hepatitis c virus genotype 1,Hepaciviridae,Orthohepacivirus,1,1,1
40271,hepatitis c virus genotype 2,Hepaciviridae,Orthohepacivirus,1,0,0
356114,hepatitis c virus genotype 3,Hepaciviridae,Orthohepacivirus,1,1,1
33745,hepatitis c virus genotype 4,Hepaciviridae,Orthohepacivirus,1,0,0
33746,hepatitis c virus genotype 5,Hepaciviridae,Orthohepacivirus,1,0,0
42182,hepatitis c virus genotype 6,Hepaciviridae,Orthohepacivirus,1,0,0
1544901,hepatitis c virus genotype 7,Hepaciviridae,Orthohepacivirus,1,0,0
3052230,orthohepacivirus hominis,Hepaciviridae,Orthohepacivirus,1,1,1
3052236,orthohepacivirus platyrrhini,Hepaciviridae,Orthohepacivirus,0,1,1
54290,gb virus c,Hepaciviridae,Pegivirus,0,1,1
1704090,human hepegivirus,Hepaciviridae,Pegivirus,1,0,0
1758225,human pegivirus,Hepaciviridae,Pegivirus,1,0,0
2594177,human pegivirus genotype 1,Hepaciviridae,Pegivirus,1,0,0
11099,bovine viral diarrhea virus 1,Pestiviridae,Orthopestivirus,0,1,1
54315,bovine viral diarrhea virus 2,Pestiviridae,Orthopestivirus,0,1,1
352770,h10n3 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
102801,h10n7 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
114727,h1n1 subtype,Orthomyxoviridae,Alphainfluenzavirus,1,1,1
114728,h1n2 subtype,Orthomyxoviridae,Alphainfluenzavirus,1,1,1
114729,h2n2 subtype,Orthomyxoviridae,Alphainfluenzavirus,1,1,1
157802,h3n1 subtype,Orthomyxoviridae,Alphainfluenzavirus,1,1,1
119210,h3n2 subtype,Orthomyxoviridae,Alphainfluenzavirus,1,1,1
215851,h3n3 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
102800,h4n6 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
102793,h5n1 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
329376,h5n6 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
119214,h7n2 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
119215,h7n3 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
325678,h7n4 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
119218,h7n7 subtype,Orthomyxoviridae,Alphainfluenzavirus,1,1,1
333278,h7n9 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
102796,h9n2 subtype,Orthomyxoviridae,Alphainfluenzavirus,0,1,1
11320,influenza a virus,Orthomyxoviridae,Alphainfluenzavirus,1,1,1
11520,influenza b virus,Orthomyxoviridae,Betainfluenzavirus,1,1,1
1618189,bourbon virus,Orthomyxoviridae,Thogotovirus,0,0,0
2137161,oz virus,Orthomyxoviridae,Thogotovirus,0,1,1
11318,thogotovirus dhoriense,Orthomyxoviridae,Thogotovirus,0,1,1
11569,thogotovirus thogotoense,Orthomyxoviridae,Thogotovirus,0,1,1
10407,hepatitis b virus,Hepadnaviridae,Orthohepadnavirus,1,1,1
489455,hepatitis b virus genotype a,Hepadnaviridae,Orthohepadnavirus,1,0,0
489460,hepatitis b virus genotype b,Hepadnaviridae,Orthohepadnavirus,1,1,1
2764122,hepatitis b virus genotype c,Hepadnaviridae,Orthohepadnavirus,1,0,0
2847137,hepatitis b virus genotype d,Hepadnaviridae,Orthohepadnavirus,1,1,1
2847138,hepatitis b virus genotype e,Hepadnaviridae,Orthohepadnavirus,1,0,0
2847139,hepatitis b virus genotype f,Hepadnaviridae,Orthohepadnavirus,1,0,0
2847140,hepatitis b virus genotype g,Hepadnaviridae,Orthohepadnavirus,1,0,0
2847141,hepatitis b virus genotype h,Hepadnaviridae,Orthohepadnavirus,1,0,0
106820,hepatitis b virus subtype adr,Hepadnaviridae,Orthohepadnavirus,1,0,0
106821,hepatitis b virus subtype adw,Hepadnaviridae,Orthohepadnavirus,1,0,0
621278,recombinant hepatitis b virus,Hepadnaviridae,Orthohepadnavirus,1,0,0
2025360,ny_014 poxvirus,Poxviridae,Centapoxvirus,0,0,0
10279,molluscum contagiosum virus,Poxviridae,Molluscipoxvirus,1,1,1
32605,buffalopox virus,Poxviridae,Orthopoxvirus,0,1,1
28873,camelpox virus,Poxviridae,Orthopoxvirus,0,1,1
10243,cowpox virus,Poxviridae,Orthopoxvirus,0,1,1
12643,ectromelia virus,Poxviridae,Orthopoxvirus,0,1,1
397342,horsepox virus,Poxviridae,Orthopoxvirus,0,1,1
10244,monkeypox virus,Poxviridae,Orthopoxvirus,1,1,1
2200830,orthopoxvirus akhmetapox,Poxviridae,Orthopoxvirus,0,1,1
10245,orthopoxvirus vaccinia,Poxviridae,Orthopoxvirus,0,1,1
12870,variola major virus,Poxviridae,Orthopoxvirus,1,0,0
53258,variola minor virus,Poxviridae,Orthopoxvirus,1,0,0
10255,variola virus,Poxviridae,Orthopoxvirus,1,1,1
129727,bovine papular stomatitis virus,Poxviridae,Parapoxvirus,0,1,1
10258,orf virus,Poxviridae,Parapoxvirus,0,1,1
129726,pseudocowpox virus,Poxviridae,Parapoxvirus,0,1,1
187984,seal parapoxvirus,Poxviridae,Parapoxvirus,0,1,1
