virus_taxid,zoonotic,human_to_human
10243,1,0.0
10244,1,1.0
10245,1,0.0
10255,0,1.0
10258,1,0.0
10279,1,1.0
10298,1,1.0
10310,1,1.0
10325,1,0.0
10335,0,1.0
10345,1,0.0
10353,1,0.0
10359,1,1.0
10368,1,
10372,0,1.0
10376,1,1.0
10381,1,0.0
10390,1,
10407,1,1.0
10566,0,1.0
10891,1,
10970,1,
11020,1,0.0
11021,1,0.0
11024,1,0.0
11029,1,1.0
11033,1,0.0
11034,1,0.0
11036,1,0.0
11039,1,0.0
11041,0,1.0
11072,1,0.0
11079,1,0.0
11080,1,0.0
11082,1,0.0
11083,1,0.0
11084,1,0.0
11086,1,0.0
11089,1,1.0
11137,1,1.0
11216,1,1.0
11234,1,1.0
11250,1,1.0
11263,1,0.0
11276,1,0.0
11292,1,0.0
11318,1,0.0
11320,1,1.0
11520,1,1.0
11552,1,
11569,1,0.0
11642,1,0.0
11676,1,1.0
11709,0,1.0
11723,1,0.0
11757,1,0.0
11786,1,0.0
11827,0,1.0
11840,1,0.0
11855,1,0.0
11901,1,0.0
11970,1,0.0
11983,1,1.0
12066,0,
12092,1,1.0
12110,1,
12239,0,
12455,1,
12475,1,
12480,1,0.0
12538,1,0.0
12542,1,0.0
12637,1,1.0
12643,1,0.0
12721,0,1.0
12730,1,1.0
28873,1,0.0
28875,1,1.0
28876,1,1.0
29256,0,
33743,1,0.0
33758,0,
35612,1,0.0
36362,1,
36427,1,0.0
37124,1,1.0
37140,0,
37296,1,1.0
37741,1,
38766,1,0.0
38767,1,0.0
38804,1,0.0
38837,1,
40004,1,
40052,1,0.0
40053,1,0.0
40057,1,0.0
40058,1,0.0
40059,1,0.0
40278,0,
44024,1,0.0
44025,1,0.0
44026,1,0.0
44158,1,0.0
44755,1,
46920,1,
47000,1,0.0
47681,1,
48543,1,0.0
50292,1,0.0
57482,1,0.0
57483,1,0.0
59300,1,0.0
59301,1,0.0
59302,1,0.0
59304,1,
59305,0,0.0
59563,1,0.0
60875,1,0.0
60876,1,0.0
60877,1,0.0
64280,1,0.0
64282,1,
64285,1,0.0
64286,1,0.0
64290,1,0.0
64292,1,0.0
64293,1,0.0
64295,1,
64296,1,
64297,1,
64300,1,0.0
64303,1,0.0
64305,1,0.0
64307,1,
64311,0,0.0
64312,1,0.0
64318,0,0.0
64320,1,1.0
67605,0,
68887,1,1.0
72149,1,1.0
74501,1,
77763,1,0.0
86782,1,0.0
90961,1,0.0
95342,1,1.0
99000,1,0.0
99182,1,
106332,1,
106966,1,0.0
108098,1,1.0
118027,1,0.0
129726,1,0.0
129727,1,0.0
129875,1,1.0
129951,1,1.0
130308,1,1.0
130309,1,1.0
130310,1,1.0
138948,1,1.0
138949,1,1.0
138950,1,1.0
138951,1,1.0
145390,0,
145856,1,1.0
147711,0,1.0
147712,0,1.0
159150,1,
162145,1,1.0
164416,1,0.0
169066,0,
178530,1,
180170,1,0.0
186538,1,1.0
186539,1,0.0
186540,0,1.0
186541,1,1.0
187984,1,0.0
192971,0,
194440,1,
194441,1,
194443,1,
196403,1,
204269,1,
249583,1,
272636,1,1.0
277944,0,1.0
290028,0,1.0
308159,1,
310907,1,0.0
329641,1,1.0
332097,1,0.0
333754,1,
333757,0,
333766,0,1.0
333767,0,1.0
333924,1,1.0
333926,0,
333928,0,
333929,0,
333930,0,1.0
333931,0,1.0
334203,0,1.0
334204,0,1.0
334205,0,
334207,1,
334208,0,1.0
334209,0,1.0
337039,1,
337041,1,
337042,1,1.0
337043,0,1.0
337044,0,
337048,0,
337049,0,
337050,0,
337051,1,1.0
341730,0,
348015,0,
351073,1,1.0
369960,1,
393049,1,
430511,1,
432261,1,1.0
463676,1,1.0
496406,0,
496407,0,
496408,0,
496409,0,
532080,0,
536079,1,1.0
565995,0,1.0
645161,0,
652810,0,1.0
687340,1,1.0
687342,0,1.0
687344,0,
687345,0,1.0
687346,0,1.0
687347,0,1.0
687348,0,
687349,0,1.0
687350,0,
687351,0,1.0
687352,0,
687354,0,1.0
687355,0,1.0
687356,0,1.0
687357,0,1.0
687358,0,1.0
687359,0,
687360,0,
687361,0,
687363,0,
687366,0,1.0
687367,0,1.0
687368,0,
687369,0,1.0
687370,0,1.0
687371,0,1.0
687372,0,1.0
687373,0,1.0
687374,0,1.0
687375,0,1.0
687376,0,1.0
687377,0,
687379,0,1.0
687380,0,1.0
688436,0,
693997,1,
694003,1,0.0
694009,1,1.0
694014,1,0.0
723802,1,
870710,0,
870711,0,
870712,0,
871260,1,
931244,1,
1170423,0,
1172985,1,0.0
1175848,0,1.0
1175849,0,1.0
1175850,0,1.0
1175851,0,1.0
1175852,0,1.0
1176484,1,
1188015,0,
1193974,1,
1208309,0,1.0
1209382,0,
1209383,0,
1233383,0,1.0
1239438,1,
1239439,1,0.0
1239565,1,1.0
1239570,1,
1239572,0,0.0
1239573,1,
1285463,1,
1330491,1,
1330524,1,0.0
1348384,1,0.0
1391667,0,
1437125,1,
1440170,1,0.0
1453410,0,
1455626,0,
1459003,1,0.0
1511805,1,
1511891,1,
1511892,1,
1511894,1,0.0
1513256,0,1.0
1513257,0,1.0
1513258,1,1.0
1513259,0,1.0
1513260,0,1.0
1513261,0,1.0
1513262,0,1.0
1513263,0,1.0
1513264,0,1.0
1513265,0,
1530251,1,
1548189,0,
1569923,0,
1595998,0,1.0
1615798,0,
1678143,1,0.0
1678145,1,0.0
1678230,1,0.0
1679172,1,
1714619,1,0.0
1746058,1,
1764076,1,0.0
1803956,0,0.0
1803957,1,
1803958,0,
1803959,0,
1803960,0,
1803961,0,
1820160,0,
1821749,1,
1821750,1,1.0
1851215,0,1.0
1851219,0,1.0
1868658,1,1.0
1883111,1,
1891726,0,1.0
1891727,0,1.0
1891728,0,1.0
1891745,0,1.0
1891754,1,0.0
1891762,1,1.0
1891763,0,1.0
1891764,0,1.0
1891765,0,1.0
1891767,1,0.0
1897087,1,0.0
1904885,0,
1904886,0,
1904888,0,
1906670,1,
1906931,0,
1907210,0,
1907787,1,
1912147,1,
1914415,0,1.0
1916234,1,
1930509,1,
1933176,1,
1933180,1,0.0
1933190,1,0.0
1933263,1,
1938392,1,
1940554,0,
1954248,1,
1955157,0,
1955166,1,
1955201,1,
1961678,0,1.0
1961679,0,1.0
1961680,0,1.0
1961681,0,1.0
1961682,0,1.0
1961683,0,1.0
1961783,0,1.0
1967472,1,
1972568,1,0.0
1972573,1,
1972574,1,0.0
1972575,1,0.0
1972576,1,0.0
1972577,1,0.0
1972578,1,0.0
