accession,taxid
NC_139533.1,2760987
NC_139532.1,2760984
NC_139531.1,2760983
NC_139478.1,2596880
NC_139477.1,2596879
NC_117090.1,3431306
NC_116885.1,3431299
NC_116972.1,3240620
NC_117432.1,3019935
NC_139456.1,336639
NC_117233.1,2951733
NC_105787.1,692069
NC_116743.1,3426519
NC_139445.1,1516115
NC_105837.1,3428578
NC_115876.1,2716914
NC_139440.1,3432804
NC_116500.1,3431589
NC_139403.1,2952747
NC_038235.1,11250
NC_001803.1,208893
NC_117253.1,2964312
NC_139379.1,2978984
NC_116975.1,2911488
NC_139378.1,3004219
NC_139377.1,2950880
NC_117182.1,3426161
NC_117269.1,2971904
NC_117394.1,3426159
NC_117321.1,3426105
NC_139376.1,2950847
NC_117252.1,2963947
NC_139375.1,576352
NC_117410.1,3002498
NC_116974.1,2911487
NC_139374.1,3427245
NC_139373.1,3427244
NC_139372.1,2950851
NC_139371.1,2950850
NC_139369.1,3426220
NC_025412.1,1560514
NC_139368.1,2950883
NC_139361.1,3042095
NC_116599.1,3433034
NC_115547.1,2575429
NC_117424.1,3018030
NC_115477.1,2527960
NC_115422.1,2491943
NC_117431.1,3035804
NC_117028.1,2914864
NC_139356.1,2914863
NC_139355.1,1862685
NC_116890.1,2885089
NC_115511.1,2562543
NC_117245.1,2959664
NC_117050.1,2919398
NC_115668.1,2590571
NC_116587.1,2805088
NC_131370.1,2885087
NC_116889.1,2885088
NC_116799.1,2871160
NC_115371.1,2420235
NC_115733.1,2653665
NC_116528.1,2777538
NC_117310.1,2977935
NC_116888.1,2885086
NC_139284.1,3025624
NC_139283.1,2696999
NC_115946.1,2735399
NC_116651.1,2824965
NC_115506.1,2561873
NC_116530.1,2778517
NC_139278.1,2989852
NC_117428.1,3019006
NC_116313.1,2754871
NC_116971.1,2910195
NC_116970.1,2910194
NC_139276.1,2480685
NC_116609.1,2812730
NC_115690.1,2593979
NC_115720.1,2605950
NC_139275.1,2301724
NC_116026.1,2738918
NC_116580.1,2802551
NC_116891.1,2885090
NC_117053.1,2919882
NC_139271.1,2992867
NC_116297.1,2749299
NC_139267.1,2980584
NC_139266.1,2980578
NC_139264.1,2042174
NC_131414.1,2985438
NC_115481.1,2547302
NC_117368.1,2983974
NC_117164.1,2940985
NC_116857.1,2877504
NC_117243.1,3426274
NC_116560.1,2791004
NC_117229.1,2951068
NC_116862.1,2877512
NC_116858.1,2877505
NC_139212.1,2686046
NC_116338.1,2760898
NC_116337.1,2760897
NC_131270.1,2729341
NC_116726.1,2838154
NC_116725.1,2838153
NC_115871.1,2716559
NC_139204.1,2735964
NC_139203.1,2801159
NC_116094.1,2741656
NC_116093.1,2741441
NC_116875.1,2880267
NC_116288.1,2747491
NC_139199.1,3426062
NC_139198.1,3426059
NC_139197.1,3426052
NC_139196.1,3426051
NC_139195.1,3426050
NC_139194.1,3426049
NC_139193.1,3426044
NC_139192.1,3426040
NC_139191.1,3426039
NC_139190.1,3426038
NC_139189.1,3426036
NC_139188.1,3426035
NC_139187.1,3426034
NC_116680.1,2829560
NC_116679.1,2829526
