virus_taxid,virus_name,infects_birds,infects_bats,infects_rodents
10243,Cowpox virus,0,0,1
10244,Monkeypox virus,0,0,1
10245,Orthopoxvirus vaccinia,0,0,1
10255,Variola virus,0,0,0
10258,Orf virus,0,0,0
10261,Fowlpox virus,1,0,0
10271,Rabbit fibroma virus,0,0,0
10279,Molluscum contagiosum virus,1,0,0
10298,Human alphaherpesvirus 1,0,0,1
10310,Human alphaherpesvirus 2,0,0,0
10325,Macacine alphaherpesvirus 1,0,0,0
10335,Human alphaherpesvirus 3,0,0,0
10345,Suid alphaherpesvirus 1,0,0,0
10353,Saimiriine alphaherpesvirus 1,0,0,0
10359,Human betaherpesvirus 5,0,0,0
10372,Human betaherpesvirus 7,0,0,0
10376,human gammaherpesvirus 4,0,0,0
10381,Saimiriine gammaherpesvirus 2,0,0,0
10407,Hepatitis B virus,0,1,0
10497,African swine fever virus,0,0,0
10566,Human papillomavirus,0,0,0
11020,Barmah Forest virus,0,0,0
11021,Eastern equine encephalitis virus,1,1,1
11023,Middelburg virus,0,0,0
11024,Highlands J virus,1,0,1
11029,Ross River virus,1,1,1
11033,Semliki Forest virus,1,0,0
11034,Sindbis virus,1,1,1
11036,Venezuelan equine encephalitis virus,1,1,1
11039,Western equine encephalitis virus,1,1,1
11041,Rubella virus,0,0,0
11072,Japanese encephalitis virus,1,1,0
11079,Murray Valley encephalitis virus,1,1,0
11080,St. Louis encephalitis virus,1,1,1
11082,West Nile virus,1,1,1
11083,Powassan virus,0,0,1
11084,Tick-borne encephalitis virus,1,1,1
11085,Langat virus,0,0,1
11086,Louping ill virus,1,0,1
11089,Yellow fever virus,0,1,1
11137,Human coronavirus 229E,0,1,0
11216,Human respirovirus 3,0,0,1
11234,Measles morbillivirus,0,0,0
11250,human respiratory syncytial virus,0,0,0
11263,murine pneumonia virus,0,0,1
11276,Vesicular stomatitis virus,0,0,1
11292,Lyssavirus rabies,1,1,1
11318,Thogotovirus dhoriense,1,0,1
11320,Influenza A virus,1,1,1
11520,Influenza B virus,0,0,0
11569,Thogotovirus thogotoense,0,0,1
11642,Simian foamy virus,0,0,1
11676,Human immunodeficiency virus 1,0,0,0
11709,Human immunodeficiency virus 2,0,0,0
11723,Simian immunodeficiency virus,0,0,0
11757,Mouse mammary tumor virus,0,0,1
11786,Murine leukemia virus,0,1,1
11827,Human endogenous retrovirus,0,0,0
