virus_family,n_viruses,n_positive,n_errors,n_negative,error_rate,mixed_group
Pecoviridae,1,1,1,0,1.0,False
Iridoviridae,1,0,1,1,1.0,False
Pestiviridae,2,0,2,2,1.0,False
Picobirnaviridae,1,1,1,0,1.0,False
nan,2,1,2,1,1.0,True
Sedoreoviridae,18,4,14,14,0.778,True
Spinareoviridae,7,1,4,6,0.571,True
Smacoviridae,10,10,5,0,0.5,False
Poxviridae,20,5,10,15,0.5,True
Rhabdoviridae,18,0,8,18,0.444,False
Togaviridae,30,2,13,28,0.433,True
Filoviridae,7,4,3,3,0.429,True
Parvoviridae,28,25,12,3,0.429,True
Orthoherpesviridae,14,9,6,5,0.429,True
Peribunyaviridae,44,0,17,44,0.386,False
Orthomyxoviridae,23,8,8,15,0.348,True
Matonaviridae,3,3,1,0,0.333,False
Hantaviridae,12,2,4,10,0.333,True
Bornaviridae,3,0,1,3,0.333,False
Hepeviridae,6,2,2,4,0.333,True
Retroviridae,28,12,8,16,0.286,True
Arenaviridae,14,4,4,10,0.286,True
Polyomaviridae,22,18,6,4,0.273,True
Circoviridae,27,23,7,4,0.259,True
Genomoviridae,16,6,4,10,0.25,True
Coronaviridae,40,12,10,28,0.25,True
Astroviridae,29,17,6,12,0.207,True
Paramyxoviridae,38,26,7,12,0.184,True
Phenuiviridae,23,1,4,22,0.174,True
Pneumoviridae,6,5,1,1,0.167,True
Flaviviridae,39,7,6,32,0.154,True
Nairoviridae,7,1,1,6,0.143,True
Adenoviridae,106,79,14,27,0.132,True
Anelloviridae,69,55,8,14,0.116,True
Caliciviridae,113,112,10,1,0.088,True
Picornaviridae,280,260,19,20,0.068,True
Papillomaviridae,219,219,6,0,0.027,False
Dicistroviridae,3,0,0,3,0.0,False
Oomyviridae,1,0,0,1,0.0,False
Hepadnaviridae,12,12,0,0,0.0,False
Hepaciviridae,13,11,0,2,0.0,True
Redondoviridae,18,18,0,0,0.0,False
