virus_family,n_viruses,n_positive,n_errors,n_negative,error_rate,mixed_group
Oomyviridae,1,1,1,0,1.0,False
Pecoviridae,1,0,1,1,1.0,False
Picobirnaviridae,1,1,1,0,1.0,False
Sedoreoviridae,18,18,15,0,0.833,False
Hepadnaviridae,12,3,9,9,0.75,True
Spinareoviridae,7,7,5,0,0.714,False
Genomoviridae,16,1,11,15,0.688,True
Hepeviridae,6,6,4,0,0.667,False
Bornaviridae,3,2,2,1,0.667,True
Phenuiviridae,23,10,12,13,0.522,True
Pneumoviridae,6,4,3,2,0.5,True
Poxviridae,20,17,9,3,0.45,True
Orthoherpesviridae,14,13,6,1,0.429,True
Parvoviridae,28,12,12,16,0.429,True
Peribunyaviridae,44,32,17,12,0.386,True
Polyomaviridae,22,5,8,17,0.364,True
Matonaviridae,3,0,1,3,0.333,False
Paramyxoviridae,38,19,12,19,0.316,True
Astroviridae,29,7,9,22,0.31,True
Hepaciviridae,13,5,4,8,0.308,True
Retroviridae,28,18,8,10,0.286,True
Nairoviridae,7,6,2,1,0.286,True
Adenoviridae,106,32,30,74,0.283,True
Hantaviridae,12,11,3,1,0.25,True
Rhabdoviridae,18,16,4,2,0.222,True
Coronaviridae,40,13,8,27,0.2,True
Anelloviridae,69,14,12,55,0.174,True
Togaviridae,30,24,5,6,0.167,True
Picornaviridae,280,49,44,231,0.157,True
Flaviviridae,39,37,6,2,0.154,True
Arenaviridae,14,12,2,2,0.143,True
Caliciviridae,113,10,9,103,0.08,True
Circoviridae,27,3,2,24,0.074,True
Orthomyxoviridae,23,22,1,1,0.043,True
Papillomaviridae,219,5,5,214,0.023,True
Dicistroviridae,3,0,0,3,0.0,False
Filoviridae,7,7,0,0,0.0,False
Iridoviridae,1,0,0,1,0.0,False
Pestiviridae,2,2,0,0,0.0,False
Redondoviridae,18,0,0,18,0.0,False
Smacoviridae,10,0,0,10,0.0,False
nan,2,0,0,2,0.0,False
