virus_family,n_viruses,n_positive,n_errors,n_negative,error_rate,mixed_group
Oomyviridae,1,1,1,0,1.0,False
Pecoviridae,1,0,1,1,1.0,False
Picobirnaviridae,1,1,1,0,1.0,False
Sedoreoviridae,18,18,16,0,0.889,False
Spinareoviridae,7,7,5,0,0.714,False
Pneumoviridae,6,4,4,2,0.667,True
Hepadnaviridae,12,3,8,9,0.667,True
Hepeviridae,6,6,4,0,0.667,False
Bornaviridae,3,2,2,1,0.667,True
Genomoviridae,16,1,8,15,0.5,True
Poxviridae,20,17,10,3,0.5,True
Phenuiviridae,23,10,10,13,0.435,True
Orthoherpesviridae,14,13,6,1,0.429,True
Hepaciviridae,13,5,5,8,0.385,True
Parvoviridae,28,12,10,16,0.357,True
Peribunyaviridae,44,32,15,12,0.341,True
Matonaviridae,3,0,1,3,0.333,False
Hantaviridae,12,11,4,1,0.333,True
Paramyxoviridae,38,19,12,19,0.316,True
Retroviridae,28,18,8,10,0.286,True
Adenoviridae,106,32,30,74,0.283,True
Coronaviridae,40,13,11,27,0.275,True
Togaviridae,30,24,8,6,0.267,True
Rhabdoviridae,18,16,4,2,0.222,True
Astroviridae,29,0,5,29,0.172,False
Picornaviridae,280,49,47,231,0.168,True
Flaviviridae,39,37,6,2,0.154,True
Anelloviridae,69,9,10,60,0.145,True
Arenaviridae,14,12,2,2,0.143,True
Nairoviridae,7,6,1,1,0.143,True
Caliciviridae,113,10,11,103,0.097,True
Circoviridae,27,3,2,24,0.074,True
Orthomyxoviridae,23,22,1,1,0.043,True
Papillomaviridae,219,0,2,219,0.009,False
Filoviridae,7,7,0,0,0.0,False
Dicistroviridae,3,0,0,3,0.0,False
Iridoviridae,1,0,0,1,0.0,False
Pestiviridae,2,2,0,0,0.0,False
Polyomaviridae,22,0,0,22,0.0,False
Redondoviridae,18,0,0,18,0.0,False
Smacoviridae,10,0,0,10,0.0,False
nan,2,0,0,2,0.0,False
