virus_family,n_viruses,n_positive,n_errors,n_negative,error_rate,mixed_group
Dicistroviridae,1,0,1,1,1.0,False
Iridoviridae,1,0,1,1,1.0,False
Oomyviridae,1,0,1,1,1.0,False
Pecoviridae,1,1,1,0,1.0,False
Picobirnaviridae,1,1,1,0,1.0,False
nan,2,1,2,1,1.0,True
Matonaviridae,2,2,2,0,1.0,False
Bornaviridae,3,0,2,3,0.667,False
Sedoreoviridae,18,4,11,14,0.611,True
Parvoviridae,15,13,9,2,0.6,True
Smacoviridae,9,9,5,0,0.556,False
Genomoviridae,10,5,5,5,0.5,True
Pestiviridae,2,0,1,2,0.5,False
Poxviridae,17,4,8,13,0.471,True
Peribunyaviridae,42,0,19,42,0.452,False
Rhabdoviridae,18,0,8,18,0.444,False
Arenaviridae,14,4,6,10,0.429,True
Filoviridae,7,4,3,3,0.429,True
Orthoherpesviridae,14,9,6,5,0.429,True
Hantaviridae,12,2,5,10,0.417,True
Polyomaviridae,18,14,7,4,0.389,True
Coronaviridae,13,6,5,7,0.385,True
Paramyxoviridae,21,9,8,12,0.381,True
Retroviridae,24,11,9,13,0.375,True
Caliciviridae,26,25,9,1,0.346,True
Spinareoviridae,7,1,2,6,0.286,True
Togaviridae,25,2,7,23,0.28,True
Circoviridae,22,18,6,4,0.273,True
Orthomyxoviridae,19,8,5,11,0.263,True
Adenoviridae,61,38,14,23,0.23,True
Astroviridae,23,14,5,9,0.217,True
Hepeviridae,5,1,1,4,0.2,True
Flaviviridae,37,6,7,31,0.189,True
Pneumoviridae,6,5,1,1,0.167,True
Nairoviridae,7,1,1,6,0.143,True
Anelloviridae,64,52,9,12,0.141,True
Phenuiviridae,22,1,2,21,0.091,True
Picornaviridae,263,247,18,16,0.068,True
Papillomaviridae,202,202,3,0,0.015,False
Hepadnaviridae,7,7,0,0,0.0,False
Hepaciviridae,11,9,0,2,0.0,True
Redondoviridae,13,13,0,0,0.0,False
