virus_taxid,virus_family,true_label,predicted_prob,predicted_label,correct,error_type
10243,Poxviridae,0,0.0703,0,True,correct
10244,Poxviridae,1,0.6143,1,True,correct
10245,Poxviridae,0,0.7899,1,False,false_positive
10255,Poxviridae,1,0.1706,0,False,false_negative
10258,Poxviridae,0,0.06,0,True,correct
10279,Poxviridae,1,0.1614,0,False,false_negative
10298,Orthoherpesviridae,1,0.1468,0,False,false_negative
10310,Orthoherpesviridae,1,0.1635,0,False,false_negative
10325,Orthoherpesviridae,0,0.1457,0,True,correct
10335,Orthoherpesviridae,1,0.1464,0,False,false_negative
10345,Orthoherpesviridae,0,0.1408,0,True,correct
10353,Orthoherpesviridae,0,0.3786,0,True,correct
10359,Orthoherpesviridae,1,0.2516,0,False,false_negative
10372,Orthoherpesviridae,1,0.7131,1,True,correct
10376,Orthoherpesviridae,1,0.8925,1,True,correct
10381,Orthoherpesviridae,0,0.6063,1,False,false_positive
10515,Adenoviridae,1,0.3988,0,False,false_negative
10519,Adenoviridae,1,0.9447,1,True,correct
10522,Adenoviridae,1,0.9351,1,True,correct
10524,Adenoviridae,1,0.3026,0,False,false_negative
10528,Adenoviridae,1,0.547,1,True,correct
10529,Adenoviridae,1,0.7769,1,True,correct
10533,Adenoviridae,1,0.8993,1,True,correct
10566,Papillomaviridae,1,0.9354,1,True,correct
10573,Papillomaviridae,1,0.787,1,True,correct
10579,Papillomaviridae,1,0.9577,1,True,correct
10580,Papillomaviridae,1,0.9268,1,True,correct
10585,Papillomaviridae,1,0.9124,1,True,correct
10586,Papillomaviridae,1,0.9326,1,True,correct
10587,Papillomaviridae,1,0.9366,1,True,correct
10588,Papillomaviridae,1,0.9031,1,True,correct
10589,Papillomaviridae,1,0.4607,0,False,false_negative
10590,Papillomaviridae,1,0.9139,1,True,correct
10591,Papillomaviridae,1,0.8875,1,True,correct
10592,Papillomaviridae,1,0.8203,1,True,correct
10593,Papillomaviridae,1,0.9459,1,True,correct
10595,Papillomaviridae,1,0.9081,1,True,correct
10596,Papillomaviridae,1,0.8313,1,True,correct
10598,Papillomaviridae,1,0.927,1,True,correct
10607,Papillomaviridae,1,0.8293,1,True,correct
10611,Papillomaviridae,1,0.9444,1,True,correct
10615,Papillomaviridae,1,0.9584,1,True,correct
10616,Papillomaviridae,1,0.8379,1,True,correct
10617,Papillomaviridae,1,0.8631,1,True,correct
10618,Papillomaviridae,1,0.9614,1,True,correct
10620,Papillomaviridae,1,0.7581,1,True,correct
10804,Parvoviridae,1,0.0732,0,False,false_negative
10941,Sedoreoviridae,1,0.8513,1,True,correct
10943,Sedoreoviridae,1,0.7775,1,True,correct
11020,Togaviridae,0,0.1774,0,True,correct
11021,Togaviridae,0,0.907,1,False,false_positive
11023,Togaviridae,0,0.1638,0,True,correct
11024,Togaviridae,0,0.4501,0,True,correct
11029,Togaviridae,1,0.3117,0,False,false_negative
11033,Togaviridae,0,0.144,0,True,correct
11036,Togaviridae,0,0.1903,0,True,correct
11039,Togaviridae,0,0.2135,0,True,correct
11053,Flaviviridae,1,0.9169,1,True,correct
11060,Flaviviridae,1,0.8036,1,True,correct
11069,Flaviviridae,1,0.8991,1,True,correct
11070,Flaviviridae,1,0.8426,1,True,correct
11072,Flaviviridae,0,0.2286,0,True,correct
11077,Flaviviridae,0,0.6666,1,False,false_positive
11079,Flaviviridae,0,0.1501,0,True,correct
11080,Flaviviridae,0,0.1074,0,True,correct
11082,Flaviviridae,0,0.6581,1,False,false_positive
11083,Flaviviridae,0,0.5813,1,False,false_positive
11084,Flaviviridae,0,0.3985,0,True,correct
11085,Flaviviridae,0,0.4886,0,True,correct
11086,Flaviviridae,0,0.3312,0,True,correct
11089,Flaviviridae,1,0.8262,1,True,correct
11099,Pestiviridae,0,0.4072,0,True,correct
11120,Coronaviridae,0,0.8749,1,False,false_positive
11137,Coronaviridae,1,0.7658,1,True,correct
11138,Coronaviridae,0,0.4092,0,True,correct
11153,Coronaviridae,0,0.9647,1,False,false_positive
11216,Paramyxoviridae,1,0.7083,1,True,correct
11224,Paramyxoviridae,1,0.4884,0,False,false_negative
11250,Pneumoviridae,1,0.8877,1,True,correct
11263,Pneumoviridae,0,0.6218,1,False,false_positive
11276,Rhabdoviridae,0,0.9131,1,False,false_positive
11292,Rhabdoviridae,0,0.1856,0,True,correct
11318,Orthomyxoviridae,0,0.0852,0,True,correct
11320,Orthomyxoviridae,1,0.3632,0,False,false_negative
11520,Orthomyxoviridae,1,0.5243,1,True,correct
11569,Orthomyxoviridae,0,0.0871,0,True,correct
11642,Retroviridae,0,0.5196,1,False,false_positive
11676,Retroviridae,1,0.867,1,True,correct
11709,Retroviridae,1,0.3386,0,False,false_negative
11723,Retroviridae,0,0.5586,1,False,false_positive
11757,Retroviridae,0,0.0933,0,True,correct
11786,Retroviridae,0,0.0881,0,True,correct
11827,Retroviridae,1,0.5212,1,True,correct
11840,Retroviridae,0,0.0792,0,True,correct
11855,Retroviridae,0,0.6472,1,False,false_positive
11901,Retroviridae,0,0.4379,0,True,correct
11908,Retroviridae,1,0.8586,1,True,correct
11909,Retroviridae,1,0.2626,0,False,false_negative
11963,Retroviridae,1,0.9435,1,True,correct
11970,Retroviridae,0,0.1719,0,True,correct
12060,Picornaviridae,1,0.988,1,True,correct
12063,Picornaviridae,1,0.924,1,True,correct
12067,Picornaviridae,1,0.9492,1,True,correct
12069,Picornaviridae,1,0.9701,1,True,correct
12071,Picornaviridae,1,0.9566,1,True,correct
12072,Picornaviridae,1,0.9361,1,True,correct
12073,Picornaviridae,1,0.7718,1,True,correct
12075,Picornaviridae,0,0.9893,1,False,false_positive
12078,Picornaviridae,1,0.6889,1,True,correct
12080,Picornaviridae,1,0.9428,1,True,correct
12083,Picornaviridae,1,0.9492,1,True,correct
12086,Picornaviridae,1,0.8935,1,True,correct
12089,Picornaviridae,1,0.9403,1,True,correct
12090,Picornaviridae,1,0.9729,1,True,correct
12092,Picornaviridae,1,0.4759,0,False,false_negative
12104,Picornaviridae,0,0.273,0,True,correct
12111,Picornaviridae,0,0.6023,1,False,false_positive
12116,Picornaviridae,0,0.3059,0,True,correct
12118,Picornaviridae,0,0.7193,1,False,false_positive
12130,Picornaviridae,1,0.969,1,True,correct
12131,Picornaviridae,1,0.986,1,True,correct
12135,Picornaviridae,1,0.964,1,True,correct
12480,Polyomaviridae,0,0.8178,1,False,false_positive
12538,Rhabdoviridae,0,0.2703,0,True,correct
12542,Flaviviridae,0,0.2054,0,True,correct
12618,Anelloviridae,0,0.8292,1,False,false_positive
12643,Poxviridae,0,0.7325,1,False,false_positive
12701,Astroviridae,1,0.6766,1,True,correct
12721,Retroviridae,1,0.8888,1,True,correct
12730,Paramyxoviridae,1,0.6343,1,True,correct
12814,Pneumoviridae,1,0.8417,1,True,correct
28280,Adenoviridae,1,0.9205,1,True,correct
28285,Adenoviridae,1,0.9397,1,True,correct
28332,Retroviridae,1,0.5457,1,True,correct
28873,Poxviridae,0,0.5172,1,False,false_positive
28875,Sedoreoviridae,1,0.521,1,True,correct
28876,Sedoreoviridae,1,0.8638,1,True,correct
31547,Papillomaviridae,1,0.9691,1,True,correct
31548,Papillomaviridae,1,0.9016,1,True,correct
31552,Papillomaviridae,1,0.9249,1,True,correct
31631,Coronaviridae,1,0.6772,1,True,correct
31704,Picornaviridae,1,0.589,1,True,correct
31708,Picornaviridae,1,0.9738,1,True,correct
32603,Orthoherpesviridae,1,0.7336,1,True,correct
32604,Orthoherpesviridae,1,0.1968,0,False,false_negative
32608,Adenoviridae,1,0.4314,0,False,false_negative
33745,Hepaciviridae,1,0.9085,1,True,correct
33746,Hepaciviridae,1,0.9422,1,True,correct
33757,Picornaviridae,1,0.9407,1,True,correct
35293,Picornaviridae,1,0.8582,1,True,correct
35294,Picornaviridae,1,0.9548,1,True,correct
35295,Picornaviridae,1,0.9825,1,True,correct
35300,Astroviridae,1,0.3715,0,False,false_negative
35612,Caliciviridae,0,0.3046,0,True,correct
35740,Astroviridae,1,0.8046,1,True,correct
