virus_family,n_viruses,n_positive,n_errors,error_rate
Rhabdoviridae,173,1,25,0.145
Peribunyaviridae,158,13,51,0.323
Phenuiviridae,158,2,37,0.234
Flaviviridae,151,28,61,0.404
Sedoreoviridae,70,6,27,0.386
Orthomyxoviridae,61,4,19,0.311
Nairoviridae,58,4,19,0.328
Togaviridae,45,22,15,0.333
Parvoviridae,40,1,15,0.375
Circoviridae,30,1,9,0.3
Picornaviridae,26,5,3,0.115
Anelloviridae,20,2,13,0.65
Unassigned,19,0,4,0.211
Nodaviridae,16,0,3,0.188
Spinareoviridae,15,0,0,0.0
Genomoviridae,14,0,3,0.214
Poxviridae,9,2,1,0.111
Pestiviridae,8,1,5,0.625
Retroviridae,8,2,4,0.5
Nyamiviridae,6,0,3,0.5
Chuviridae,6,0,1,0.167
Hepaciviridae,6,0,3,0.5
Iflaviridae,5,0,1,0.2
Partitiviridae,5,0,0,0.0
Coronaviridae,4,2,1,0.25
Birnaviridae,3,0,1,0.333
Hepeviridae,3,0,2,0.667
Astroviridae,3,0,0,0.0
Arenaviridae,3,3,0,0.0
Caliciviridae,2,0,1,0.5
Arteriviridae,2,0,1,0.5
Papillomaviridae,2,0,0,0.0
Polyomaviridae,2,0,2,1.0
Iridoviridae,2,0,0,0.0
Orthototiviridae,2,0,0,0.0
Solemoviridae,2,0,0,0.0
Phasmaviridae,2,0,1,0.5
Tombusviridae,2,0,0,0.0
Orthoherpesviridae,2,0,0,0.0
Hepadnaviridae,1,1,1,1.0
Asfarviridae,1,0,1,1.0
Ixodidae,1,0,1,1.0
Draupnirviridae,1,0,0,0.0
Kanorauviridae,1,0,0,0.0
Nenyaviridae,1,0,0,0.0
Paramyxoviridae,1,0,1,1.0
Tobaniviridae,1,0,0,0.0
Polycipiviridae,1,0,0,0.0
Hantaviridae,1,1,0,0.0
Mesoniviridae,1,0,0,0.0
