virus_taxid,host_types,true_label,predicted_prob,predicted_label,correct,error_type
10261,mosquito,0,0.0448,0,True,correct
10271,mosquito,0,0.0575,0,True,correct
10407,mosquito,1,0.0532,0,False,false_negative
10497,tick,0,0.0865,1,False,false_positive
10784,tick,0,0.147,1,False,false_positive
10788,tick,0,0.1722,1,False,false_positive
11020,"biting_midge,mosquito",1,0.1874,1,True,correct
11021,mosquito,1,0.1218,1,True,correct
11023,"mosquito,tick",1,0.1679,1,True,correct
11024,mosquito,1,0.3693,1,True,correct
11029,mosquito,1,0.4929,1,True,correct
11033,mosquito,1,0.2966,1,True,correct
11034,"biting_midge,mosquito,tick",1,0.2037,1,True,correct
11036,mosquito,1,0.6106,1,True,correct
11039,mosquito,1,0.0724,1,True,correct
11053,mosquito,1,0.7486,1,True,correct
11060,mosquito,1,0.666,1,True,correct
11069,mosquito,1,0.1361,1,True,correct
11070,mosquito,1,0.3349,1,True,correct
11072,"biting_midge,mosquito,tick",1,0.1541,1,True,correct
11077,mosquito,1,0.5654,1,True,correct
11079,mosquito,1,0.458,1,True,correct
11080,mosquito,1,0.2932,1,True,correct
11082,"mosquito,tick",1,0.5958,1,True,correct
11083,"mosquito,tick",1,0.5783,1,True,correct
11084,"mosquito,tick",1,0.6188,1,True,correct
11085,tick,1,0.042,0,False,false_negative
11086,tick,1,0.287,1,True,correct
11089,mosquito,1,0.6959,1,True,correct
11099,"biting_midge,mosquito",1,0.1381,1,True,correct
11277,biting_midge,0,0.0297,0,True,correct
11303,"biting_midge,mosquito",0,0.041,0,True,correct
11318,tick,1,0.159,1,True,correct
11569,tick,1,0.3891,1,True,correct
11574,mosquito,0,0.0242,0,True,correct
11575,mosquito,0,0.0946,1,False,false_positive
11577,mosquito,0,0.0573,0,True,correct
11580,mosquito,0,0.0331,0,True,correct
11582,"biting_midge,mosquito",0,0.0223,0,True,correct
11588,mosquito,0,0.5212,1,False,false_positive
11591,tick,0,0.0193,0,True,correct
11788,mosquito,0,0.105,1,False,false_positive
11827,mosquito,1,0.0551,0,False,false_negative
11864,mosquito,0,0.0814,1,False,false_positive
11901,biting_midge,1,0.0585,0,False,false_negative
11976,tick,0,0.0765,1,False,false_positive
12063,mosquito,1,0.1009,1,True,correct
12072,mosquito,1,0.2655,1,True,correct
12542,"mosquito,tick",1,0.4569,1,True,correct
28314,tick,0,0.0483,0,True,correct
28344,mosquito,0,0.197,1,False,false_positive
31657,tick,0,0.0534,0,True,correct
31658,mosquito,0,0.0706,0,True,correct
33720,biting_midge,0,0.0444,0,True,correct
34613,tick,0,0.1024,1,False,false_positive
35279,tick,0,0.1378,1,False,false_positive
35305,mosquito,0,0.0905,1,False,false_positive
35307,mosquito,0,0.0536,0,True,correct
35308,mosquito,0,0.2062,1,False,false_positive
35313,mosquito,0,0.0282,0,True,correct
35316,mosquito,0,0.5,1,False,false_positive
35318,mosquito,0,0.0432,0,True,correct
35320,mosquito,0,0.2253,1,False,false_positive
35327,biting_midge,0,0.2886,1,False,false_positive
35332,biting_midge,0,0.5651,1,False,false_positive
35338,mosquito,0,0.0352,0,True,correct
35511,mosquito,0,0.0484,0,True,correct
35513,mosquito,0,0.0604,0,True,correct
35514,mosquito,0,0.0574,0,True,correct
35515,mosquito,0,0.0325,0,True,correct
35516,mosquito,0,0.0719,0,True,correct
37124,mosquito,1,0.3696,1,True,correct
38837,mosquito,0,0.0352,0,True,correct
40004,tick,0,0.095,1,False,false_positive
40012,tick,0,0.2524,1,False,false_positive
40051,"biting_midge,mosquito",0,0.582,1,False,false_positive
40052,mosquito,1,0.0578,0,False,false_negative
40053,mosquito,1,0.1007,1,True,correct
40054,"biting_midge,mosquito",0,0.0475,0,True,correct
40056,mosquito,0,0.1309,1,False,false_positive
40060,mosquito,0,0.052,0,True,correct
40061,"biting_midge,mosquito",0,0.0456,0,True,correct
40062,"biting_midge,mosquito",0,0.022,0,True,correct
40064,tick,1,0.0746,1,True,correct
40065,mosquito,0,0.2364,1,False,false_positive
40067,tick,0,0.1593,1,False,false_positive
44024,mosquito,1,0.1792,1,True,correct
44027,mosquito,0,0.0677,0,True,correct
45029,biting_midge,0,0.0645,0,True,correct
45032,biting_midge,0,0.118,1,False,false_positive
45269,mosquito,0,0.0167,0,True,correct
45270,mosquito,0,0.0495,0,True,correct
45767,mosquito,0,0.0486,0,True,correct
45768,mosquito,0,0.0783,1,False,false_positive
46839,tick,0,0.0569,0,True,correct
47300,tick,0,0.3493,1,False,false_positive
47465,mosquito,0,0.13,1,False,false_positive
48542,mosquito,1,0.1087,1,True,correct
48543,mosquito,1,0.1993,1,True,correct
53017,tick,0,0.1695,1,False,false_positive
59301,mosquito,1,0.0493,0,False,false_negative
59302,mosquito,1,0.6537,1,True,correct
59303,mosquito,1,0.064,0,False,false_negative
59304,mosquito,0,0.3688,1,False,false_positive
59305,mosquito,1,0.0866,1,True,correct
59509,tick,0,0.0294,0,True,correct
60875,mosquito,1,0.0688,0,False,false_negative
60876,mosquito,1,0.2125,1,True,correct
60879,mosquito,0,0.2118,1,False,false_positive
62352,tick,0,0.0549,0,True,correct
64286,"mosquito,tick",1,0.3097,1,True,correct
64287,tick,0,0.0814,1,False,false_positive
64288,tick,0,0.0928,1,False,false_positive
64290,mosquito,1,0.2269,1,True,correct
64292,mosquito,1,0.2133,1,True,correct
64293,mosquito,1,0.4665,1,True,correct
64295,mosquito,0,0.051,0,True,correct
64296,mosquito,0,0.3208,1,False,false_positive
64297,mosquito,0,0.0539,0,True,correct
64305,tick,1,0.1547,1,True,correct
64307,tick,0,0.2066,1,False,false_positive
64308,mosquito,0,0.1672,1,False,false_positive
64310,tick,0,0.0803,1,False,false_positive
64311,mosquito,1,0.4335,1,True,correct
64318,mosquito,1,0.1651,1,True,correct
64320,mosquito,1,0.3754,1,True,correct
66264,biting_midge,0,0.2243,1,False,false_positive
