virus_taxid,host_types,true_label,predicted_prob,predicted_label,correct,error_type,virus_family
10261,mosquito,0,0.0448,0,True,correct,Poxviridae
10271,mosquito,0,0.0575,0,True,correct,Poxviridae
10407,mosquito,1,0.0532,0,False,false_negative,Hepadnaviridae
10497,tick,0,0.0865,1,False,false_positive,Asfarviridae
10784,tick,0,0.147,1,False,false_positive,Parvoviridae
10788,tick,0,0.1722,1,False,false_positive,Parvoviridae
11020,"biting_midge,mosquito",1,0.1874,1,True,correct,Togaviridae
11021,mosquito,1,0.1218,1,True,correct,Togaviridae
11023,"mosquito,tick",1,0.1679,1,True,correct,Togaviridae
11024,mosquito,1,0.3693,1,True,correct,Togaviridae
11029,mosquito,1,0.4929,1,True,correct,Togaviridae
11033,mosquito,1,0.2966,1,True,correct,Togaviridae
11034,"biting_midge,mosquito,tick",1,0.2037,1,True,correct,Togaviridae
11036,mosquito,1,0.6106,1,True,correct,Togaviridae
11039,mosquito,1,0.0724,1,True,correct,Togaviridae
11053,mosquito,1,0.7486,1,True,correct,Flaviviridae
11060,mosquito,1,0.666,1,True,correct,Flaviviridae
11069,mosquito,1,0.1361,1,True,correct,Flaviviridae
11070,mosquito,1,0.3349,1,True,correct,Flaviviridae
11072,"biting_midge,mosquito,tick",1,0.1541,1,True,correct,Flaviviridae
11077,mosquito,1,0.5654,1,True,correct,Flaviviridae
11079,mosquito,1,0.458,1,True,correct,Flaviviridae
11080,mosquito,1,0.2932,1,True,correct,Flaviviridae
11082,"mosquito,tick",1,0.5958,1,True,correct,Flaviviridae
11083,"mosquito,tick",1,0.5783,1,True,correct,Flaviviridae
11084,"mosquito,tick",1,0.6188,1,True,correct,Flaviviridae
11085,tick,1,0.042,0,False,false_negative,Flaviviridae
11086,tick,1,0.287,1,True,correct,Flaviviridae
11089,mosquito,1,0.6959,1,True,correct,Flaviviridae
11099,"biting_midge,mosquito",1,0.1381,1,True,correct,Pestiviridae
11277,biting_midge,0,0.0297,0,True,correct,Rhabdoviridae
11303,"biting_midge,mosquito",0,0.041,0,True,correct,Rhabdoviridae
