virus_family,n_viruses,n_positive,n_errors,n_negative,error_rate,mixed_group
Pecoviridae,1,0,1,1,1.0,False
Matonaviridae,2,0,2,2,1.0,False
Picobirnaviridae,1,1,1,0,1.0,False
Genomoviridae,10,0,8,10,0.8,False
Sedoreoviridae,18,18,13,0,0.722,False
Hepeviridae,5,5,3,0,0.6,False
Hepadnaviridae,7,1,4,6,0.571,True
nan,2,0,1,2,0.5,False
Pneumoviridae,6,4,3,2,0.5,True
Hepaciviridae,11,5,5,6,0.455,True
Phenuiviridae,22,9,10,13,0.455,True
Polyomaviridae,18,5,8,13,0.444,True
Orthoherpesviridae,14,13,6,1,0.429,True
Parvoviridae,15,9,6,6,0.4,True
Peribunyaviridae,42,30,16,12,0.381,True
Poxviridae,17,15,6,2,0.353,True
Astroviridae,23,7,8,16,0.348,True
Retroviridae,24,16,8,8,0.333,True
Bornaviridae,3,2,1,1,0.333,True
Hantaviridae,12,11,4,1,0.333,True
Coronaviridae,13,10,4,3,0.308,True
Spinareoviridae,7,7,2,0,0.286,False
Adenoviridae,61,23,17,38,0.279,True
Caliciviridae,26,8,7,18,0.269,True
Paramyxoviridae,21,16,5,5,0.238,True
Circoviridae,22,2,5,20,0.227,True
Rhabdoviridae,18,16,4,2,0.222,True
Arenaviridae,14,12,3,2,0.214,True
Anelloviridae,64,14,13,50,0.203,True
Togaviridae,25,21,5,4,0.2,True
Picornaviridae,263,44,40,219,0.152,True
Nairoviridae,7,6,1,1,0.143,True
Flaviviridae,37,35,5,2,0.135,True
Orthomyxoviridae,19,18,1,1,0.053,True
Papillomaviridae,202,4,7,198,0.035,True
Dicistroviridae,1,0,0,1,0.0,False
Filoviridae,7,7,0,0,0.0,False
Iridoviridae,1,0,0,1,0.0,False
Oomyviridae,1,1,0,0,0.0,False
Pestiviridae,2,2,0,0,0.0,False
Redondoviridae,13,0,0,13,0.0,False
Smacoviridae,9,0,0,9,0.0,False
