virus_taxid,virus_family,true_label,predicted_prob,predicted_label,correct,error_type
10243,Poxviridae,1,0.8624,1,True,correct
10244,Poxviridae,1,0.9048,1,True,correct
10245,Poxviridae,1,0.4352,0,False,false_negative
10255,Poxviridae,1,0.6392,1,True,correct
10258,Poxviridae,1,0.9659,1,True,correct
10279,Poxviridae,1,0.8139,1,True,correct
10298,Orthoherpesviridae,1,0.9067,1,True,correct
10310,Orthoherpesviridae,1,0.8247,1,True,correct
10325,Orthoherpesviridae,1,0.9302,1,True,correct
10335,Orthoherpesviridae,1,0.8014,1,True,correct
10345,Orthoherpesviridae,1,0.9487,1,True,correct
10353,Orthoherpesviridae,1,0.7509,1,True,correct
10359,Orthoherpesviridae,1,0.7676,1,True,correct
10372,Orthoherpesviridae,1,0.1362,0,False,false_negative
10376,Orthoherpesviridae,1,0.4444,0,False,false_negative
10381,Orthoherpesviridae,1,0.3689,0,False,false_negative
10515,Adenoviridae,0,0.6921,1,False,false_positive
10519,Adenoviridae,0,0.1613,0,True,correct
10522,Adenoviridae,0,0.2228,0,True,correct
10524,Adenoviridae,0,0.7561,1,False,false_positive
10528,Adenoviridae,0,0.439,0,True,correct
10529,Adenoviridae,0,0.1803,0,True,correct
10533,Adenoviridae,1,0.3841,0,False,false_negative
10566,Papillomaviridae,0,0.1722,0,True,correct
10573,Papillomaviridae,0,0.2412,0,True,correct
10579,Papillomaviridae,0,0.0496,0,True,correct
10580,Papillomaviridae,1,0.2456,0,False,false_negative
10585,Papillomaviridae,0,0.3782,0,True,correct
10586,Papillomaviridae,0,0.2632,0,True,correct
10587,Papillomaviridae,0,0.4215,0,True,correct
10588,Papillomaviridae,0,0.1767,0,True,correct
10589,Papillomaviridae,0,0.4219,0,True,correct
10590,Papillomaviridae,0,0.096,0,True,correct
10591,Papillomaviridae,0,0.0895,0,True,correct
10592,Papillomaviridae,0,0.2283,0,True,correct
10593,Papillomaviridae,0,0.1323,0,True,correct
10595,Papillomaviridae,0,0.0695,0,True,correct
10596,Papillomaviridae,0,0.1154,0,True,correct
10598,Papillomaviridae,0,0.0599,0,True,correct
10607,Papillomaviridae,0,0.1921,0,True,correct
10611,Papillomaviridae,0,0.1227,0,True,correct
10615,Papillomaviridae,0,0.1468,0,True,correct
10616,Papillomaviridae,0,0.1278,0,True,correct
10617,Papillomaviridae,0,0.1403,0,True,correct
10618,Papillomaviridae,0,0.3001,0,True,correct
10620,Papillomaviridae,0,0.2258,0,True,correct
10804,Parvoviridae,1,0.8797,1,True,correct
10941,Sedoreoviridae,1,0.7805,1,True,correct
10943,Sedoreoviridae,1,0.1369,0,False,false_negative
11020,Togaviridae,1,0.8133,1,True,correct
11021,Togaviridae,1,0.4925,0,False,false_negative
11023,Togaviridae,1,0.9028,1,True,correct
11024,Togaviridae,1,0.6891,1,True,correct
11029,Togaviridae,1,0.9222,1,True,correct
11033,Togaviridae,1,0.8701,1,True,correct
11036,Togaviridae,1,0.9125,1,True,correct
11039,Togaviridae,1,0.7905,1,True,correct
11053,Flaviviridae,1,0.5957,1,True,correct
11060,Flaviviridae,1,0.6469,1,True,correct
