virus_family,n_viruses,n_positive,n_errors,n_negative,error_rate,mixed_group
Oomyviridae,1,1,1,0,1.0,False
Matonaviridae,2,0,2,2,1.0,False
Picobirnaviridae,1,1,1,0,1.0,False
Pecoviridae,1,0,1,1,1.0,False
Sedoreoviridae,18,18,13,0,0.722,False
Hepadnaviridae,7,1,5,6,0.714,True
Pneumoviridae,6,4,4,2,0.667,True
Genomoviridae,10,0,6,10,0.6,False
Hepeviridae,5,5,3,0,0.6,False
Phenuiviridae,22,9,12,13,0.545,True
Pestiviridae,2,2,1,0,0.5,False
nan,2,0,1,2,0.5,False
Orthoherpesviridae,14,13,6,1,0.429,True
Retroviridae,24,16,10,8,0.417,True
Peribunyaviridae,42,30,17,12,0.405,True
Parvoviridae,15,9,6,6,0.4,True
Coronaviridae,13,10,5,3,0.385,True
Hepaciviridae,11,5,4,6,0.364,True
Bornaviridae,3,2,1,1,0.333,True
Hantaviridae,12,11,4,1,0.333,True
Adenoviridae,61,23,19,38,0.311,True
Caliciviridae,26,8,8,18,0.308,True
Spinareoviridae,7,7,2,0,0.286,False
Paramyxoviridae,21,16,5,5,0.238,True
Poxviridae,17,15,4,2,0.235,True
Anelloviridae,64,9,15,55,0.234,True
Rhabdoviridae,18,16,4,2,0.222,True
Astroviridae,23,0,5,23,0.217,False
Togaviridae,25,21,5,4,0.2,True
Circoviridae,22,2,4,20,0.182,True
Picornaviridae,263,44,38,219,0.144,True
Nairoviridae,7,6,1,1,0.143,True
Arenaviridae,14,12,2,2,0.143,True
Flaviviridae,37,35,5,2,0.135,True
Polyomaviridae,18,0,1,18,0.056,False
Orthomyxoviridae,19,18,1,1,0.053,True
Filoviridae,7,7,0,0,0.0,False
Dicistroviridae,1,0,0,1,0.0,False
Papillomaviridae,202,0,0,202,0.0,False
Iridoviridae,1,0,0,1,0.0,False
Redondoviridae,13,0,0,13,0.0,False
Smacoviridae,9,0,0,9,0.0,False
