virus_taxid,virus_family,true_label,predicted_prob,predicted_label,correct,error_type
10243,Poxviridae,1,0.76,1,True,correct
10244,Poxviridae,1,0.9256,1,True,correct
10245,Poxviridae,1,0.3793,0,False,false_negative
10255,Poxviridae,1,0.7109,1,True,correct
10258,Poxviridae,1,0.9807,1,True,correct
10279,Poxviridae,1,0.8509,1,True,correct
10298,Orthoherpesviridae,1,0.8791,1,True,correct
10310,Orthoherpesviridae,1,0.8324,1,True,correct
10325,Orthoherpesviridae,1,0.9388,1,True,correct
10335,Orthoherpesviridae,1,0.7199,1,True,correct
10345,Orthoherpesviridae,1,0.9612,1,True,correct
10353,Orthoherpesviridae,1,0.7299,1,True,correct
10359,Orthoherpesviridae,1,0.7999,1,True,correct
10372,Orthoherpesviridae,1,0.1788,0,False,false_negative
10376,Orthoherpesviridae,1,0.2872,0,False,false_negative
10381,Orthoherpesviridae,1,0.3985,0,False,false_negative
10515,Adenoviridae,0,0.6967,1,False,false_positive
10519,Adenoviridae,0,0.1322,0,True,correct
10522,Adenoviridae,0,0.1495,0,True,correct
10524,Adenoviridae,0,0.7595,1,False,false_positive
10528,Adenoviridae,0,0.439,0,True,correct
10529,Adenoviridae,0,0.1405,0,True,correct
10533,Adenoviridae,1,0.2791,0,False,false_negative
10566,Papillomaviridae,0,0.0981,0,True,correct
10573,Papillomaviridae,0,0.1609,0,True,correct
10579,Papillomaviridae,0,0.0528,0,True,correct
10580,Papillomaviridae,0,0.2114,0,True,correct
10585,Papillomaviridae,0,0.206,0,True,correct
10586,Papillomaviridae,0,0.1516,0,True,correct
10587,Papillomaviridae,0,0.2014,0,True,correct
10588,Papillomaviridae,0,0.1097,0,True,correct
10589,Papillomaviridae,0,0.4874,0,True,correct
10590,Papillomaviridae,0,0.0617,0,True,correct
10591,Papillomaviridae,0,0.0464,0,True,correct
10592,Papillomaviridae,0,0.2281,0,True,correct
10593,Papillomaviridae,0,0.1023,0,True,correct
10595,Papillomaviridae,0,0.0525,0,True,correct
10596,Papillomaviridae,0,0.0808,0,True,correct
10598,Papillomaviridae,0,0.053,0,True,correct
10607,Papillomaviridae,0,0.1142,0,True,correct
10611,Papillomaviridae,0,0.125,0,True,correct
10615,Papillomaviridae,0,0.0738,0,True,correct
10616,Papillomaviridae,0,0.1342,0,True,correct
10617,Papillomaviridae,0,0.0832,0,True,correct
10618,Papillomaviridae,0,0.1954,0,True,correct
10620,Papillomaviridae,0,0.1851,0,True,correct
10804,Parvoviridae,1,0.914,1,True,correct
10941,Sedoreoviridae,1,0.8686,1,True,correct
10943,Sedoreoviridae,1,0.0927,0,False,false_negative
11020,Togaviridae,1,0.8843,1,True,correct
11021,Togaviridae,1,0.4511,0,False,false_negative
11023,Togaviridae,1,0.9022,1,True,correct
11024,Togaviridae,1,0.6972,1,True,correct
11029,Togaviridae,1,0.9434,1,True,correct
11033,Togaviridae,1,0.8705,1,True,correct
11036,Togaviridae,1,0.8825,1,True,correct
11039,Togaviridae,1,0.7421,1,True,correct
11053,Flaviviridae,1,0.5598,1,True,correct
11060,Flaviviridae,1,0.5982,1,True,correct
11069,Flaviviridae,1,0.5943,1,True,correct
11070,Flaviviridae,1,0.6272,1,True,correct
11072,Flaviviridae,1,0.8204,1,True,correct
11077,Flaviviridae,1,0.5948,1,True,correct
11079,Flaviviridae,1,0.8791,1,True,correct
11080,Flaviviridae,1,0.8482,1,True,correct
11082,Flaviviridae,1,0.7641,1,True,correct
11083,Flaviviridae,1,0.6004,1,True,correct
11084,Flaviviridae,1,0.9035,1,True,correct
11085,Flaviviridae,1,0.6242,1,True,correct
11086,Flaviviridae,1,0.776,1,True,correct
11089,Flaviviridae,1,0.5823,1,True,correct
11099,Pestiviridae,1,0.447,0,False,false_negative
