virus_taxid,h2h_prob,zoo_prob,h2h_pseudo,zoo_pseudo,is_labelled,umap_x,umap_y,umap_z
287,0.9369,0.9536,1,1,False,8.970939,3.2300386,2.9503434
470,0.2993,0.9047,0,1,False,7.974092,17.584154,6.8635254
1496,0.9997,0.0001,1,0,False,4.588275,2.2425838,1.4947852
10243,0.0497,0.9638,0,1,True,6.5006433,10.868864,6.7416415
10244,0.9705,0.9459,1,1,True,8.457532,17.472878,6.936285
10245,0.0132,0.9847,0,1,True,8.351272,15.515545,6.708772
10255,0.9845,0.9274,1,1,True,6.5988216,11.1585045,6.6930494
10256,0.1743,0.8306,0,0,False,5.9864917,2.228319,1.6428179
10258,0.0152,0.9947,0,1,True,9.094697,6.4709024,4.74828
10261,0.8747,0.274,0,0,False,4.567481,1.1674997,2.0655193
10264,0.9842,0.0642,1,0,False,4.072494,0.85822743,2.0325332
10266,0.847,0.694,0,0,False,4.383361,1.3152937,2.1972618
10271,0.1754,0.8308,0,0,False,6.568477,2.6086614,1.3139925
10273,0.7866,0.7928,0,0,False,6.9182367,10.228726,5.6586432
10276,0.9913,0.0349,1,0,False,4.797254,1.3866085,1.8427522
10279,0.9954,0.9941,1,1,True,8.369751,5.8236885,4.6637263
10288,0.385,0.5479,0,0,False,4.0031056,7.9784155,6.487093
10295,0.2079,0.9836,0,1,False,9.333428,8.633227,5.0666327
10298,0.9968,0.995,1,1,True,10.134372,4.746398,4.2442303
10310,0.9872,0.9999,1,1,True,9.085745,5.2933674,4.637841
10317,0.4412,0.9904,0,1,False,9.793373,6.254099,4.5569253
10325,0.0139,1.0,0,1,True,9.77301,5.4957943,4.4334183
10326,0.9927,0.9913,1,1,False,9.184327,14.387065,6.712985
10331,0.2591,0.7818,0,0,False,9.077185,16.419409,7.0173783
10334,0.4719,0.7939,0,0,False,8.51898,18.448332,7.2561426
10335,0.9914,0.9977,1,1,True,6.849322,10.049323,5.4961243
10345,0.0054,0.9993,0,1,True,9.617865,7.205362,4.784368
10353,0.0313,0.9688,0,1,True,8.49639,6.9804583,4.7394547
10359,0.9778,0.9983,1,1,True,9.48013,6.450666,4.59537
10364,0.937,0.9533,1,1,False,8.834031,2.9125903,2.9743416
10366,0.6879,0.9986,0,1,False,9.185183,5.735639,4.627945
10368,0.0,1.0,0,1,False,6.4092712,1.7451,3.1696186
10371,0.2067,0.8489,0,0,False,7.185544,9.310729,6.1323576
10372,0.9955,0.9705,1,1,True,4.169289,1.2336642,2.4807348
10376,0.9396,0.9504,1,1,True,8.860968,18.025517,7.138398
10381,0.0117,0.9888,0,1,True,5.493756,6.923183,4.770162
10386,0.9989,0.1156,1,0,False,7.8896623,3.1407685,2.3531651
10390,0.6702,0.5677,0,0,False,8.857082,16.83797,6.904254
10397,0.9234,0.9723,1,1,False,10.433397,4.721245,4.1110344
10398,0.1339,0.8857,0,0,False,6.7263184,2.721302,1.2816867
10401,0.3641,0.642,0,0,False,8.444413,13.994537,6.680959
10406,0.4458,0.5906,0,0,False,8.102379,12.691735,7.0307245
10407,1.0,0.8345,1,0,True,7.066102,19.149895,6.7790365
10449,0.8425,0.9799,0,1,False,8.074563,2.6425388,2.7102048
10454,1.0,0.0,1,0,False,5.504471,3.1432397,3.856268
10455,1.0,0.0,1,0,False,6.1586027,3.0563562,3.5651975
10456,0.0634,0.8821,0,0,False,7.4235697,3.459095,2.691637
10464,1.0,0.3061,1,0,False,5.747211,11.025867,5.2597747
10484,0.9866,0.116,1,0,False,6.8217835,1.2013307,2.6744134
10493,0.2601,0.7873,0,0,False,6.8717966,3.3403823,1.7442585
10497,0.8454,0.2333,0,0,False,6.0207353,10.255785,6.40932
10506,0.8786,0.1223,0,0,False,5.927469,2.3102813,1.2721304
10510,0.4141,0.6602,0,0,False,7.4672785,3.0987897,2.3760135
10512,0.3197,0.9586,0,1,False,6.3144717,6.9039598,5.2001967
10514,0.5855,0.8213,0,0,False,6.721457,8.248168,5.85907
10515,0.9996,0.0002,1,0,True,7.383879,11.520897,5.905662
10519,0.941,0.0814,1,0,True,7.861547,19.868135,7.588645
10521,0.9993,0.0045,1,0,True,7.733417,13.66416,6.501232
10522,0.9325,0.0876,1,0,True,8.296412,19.760588,7.8732967
10524,0.9716,0.0389,1,0,True,7.599395,12.70379,6.129277
10527,0.9994,0.0523,1,0,True,7.747536,3.8050997,2.5676744
10528,0.999,0.0015,1,0,True,7.2428646,5.1003385,3.0487597
10529,0.9986,0.0096,1,0,True,2.3303344,-1.6489406,4.722389
10533,0.9584,0.9241,1,1,True,8.074048,19.833364,7.5446167
10537,0.3174,0.9563,0,1,False,6.3562374,6.9577947,5.2973475
10541,0.9766,0.0553,1,0,True,8.210779,16.92918,6.8102765
10548,1.0,0.0005,1,0,True,6.730855,11.936275,5.8709455
10561,0.1115,0.9661,0,1,False,4.3391023,1.0524874,2.3151596
10564,0.7829,0.2476,0,0,False,6.999381,3.4721348,1.6674627
10566,0.9952,0.0068,1,0,True,4.2420073,0.9533671,2.4618714
10567,0.2307,0.7672,0,0,False,8.032237,10.577182,6.288787
10568,0.953,0.0475,1,0,False,5.8142834,2.8043525,1.5728414
10570,0.2315,0.7962,0,0,False,8.610199,16.047678,6.8235908
10571,0.986,0.0149,1,0,False,5.327715,1.8408738,1.6279812
10573,0.9635,0.0332,1,0,True,5.171386,8.076251,6.4076734
10579,0.9726,0.0361,1,0,True,1.6936779,-3.506806,5.2406845
10580,0.9383,0.9392,1,1,True,8.315179,19.135015,7.631413
10585,0.9449,0.1106,1,0,True,7.6045833,19.887201,7.3792562
10586,0.9384,0.0749,1,0,True,8.713206,18.315493,7.3316774
10587,0.9496,0.1056,1,0,True,7.45416,19.684137,7.11343
10588,0.9904,0.0186,1,0,True,7.435178,12.228419,6.392307
10589,0.9961,0.0039,1,0,True,5.458142,3.4206665,2.0960436
10590,0.9857,0.0156,1,0,True,6.5647874,10.284259,6.8405538
10591,0.9903,0.0048,1,0,True,4.7752385,7.297169,6.0068293
10592,0.9832,0.0257,1,0,True,6.624371,11.032747,6.984739
