virus_taxid,human_to_human,zoonotic
10243,0,1
10244,1,1
10245,0,1
10255,1,1
10258,0,1
10279,1,1
10298,1,1
10310,1,1
10325,0,1
10335,1,1
10345,0,1
10353,0,1
10359,1,1
10372,1,1
10376,1,1
10381,0,1
10515,1,0
10519,1,0
10522,1,0
10524,1,0
10528,1,0
10529,1,0
10533,1,1
10566,1,0
10573,1,0
10579,1,0
10580,1,1
10585,1,0
10586,1,0
10587,1,0
10588,1,0
10589,1,0
10590,1,0
10591,1,0
10592,1,0
10593,1,0
10595,1,0
10596,1,0
10598,1,0
10607,1,0
10611,1,0
10615,1,0
10616,1,0
10617,1,0
10618,1,0
10620,1,0
10804,1,1
10941,1,1
10943,1,1
11020,0,1
11021,0,1
11023,0,1
11024,0,1
11029,1,1
11033,0,1
11036,0,1
11039,0,1
11053,1,1
11060,1,1
11069,1,1
11070,1,1
11072,0,1
11077,0,1
11079,0,1
11080,0,1
11082,0,1
11083,0,1
11084,0,1
11085,0,1
11086,0,1
11089,1,1
11099,0,1
11120,0,1
11137,1,1
11138,0,1
11153,0,1
11216,1,1
11224,1,0
11250,1,1
11263,0,1
11276,0,1
11292,0,1
11318,0,1
11320,1,1
11520,1,1
11569,0,1
11642,0,1
11676,1,1
11709,1,1
11723,0,1
11757,0,1
11786,0,1
11827,1,0
11840,0,1
11855,0,1
11901,0,1
11908,1,1
11909,1,1
11963,1,1
11970,0,1
12060,1,0
12063,1,0
12067,1,1
12069,1,1
12071,1,1
12072,1,1
12073,1,1
12075,0,1
12078,1,0
12080,1,1
12083,1,0
12086,1,0
12089,1,1
12090,1,1
12092,1,1
12104,0,1
12111,0,1
12116,0,1
12118,0,1
12130,1,0
12131,1,0
12135,1,0
12480,0,1
12538,0,1
12542,0,1
12618,0,1
12643,0,1
12701,1,0
12721,1,0
12730,1,1
12814,1,1
28280,1,0
28285,1,1
28332,1,0
28873,0,1
28875,1,1
28876,1,1
31547,1,0
31548,1,0
31552,1,1
31631,1,1
31704,1,1
31708,1,1
32603,1,1
32604,1,0
32608,1,0
33745,1,0
33746,1,0
33757,1,0
35293,1,0
35294,1,0
35295,1,0
35300,1,0
35612,0,1
35740,1,0
35741,1,0
36427,0,1
37111,1,0
37112,1,0
37115,1,0
37119,1,0
37120,1,0
37121,1,0
37124,1,1
37130,1,0
37296,1,1
37954,1,0
37955,1,0
37956,1,0
37957,1,0
37958,1,0
37959,1,0
38766,0,1
38767,0,1
38804,0,1
38950,1,0
39054,1,1
39085,1,0
39457,1,0
39767,1,0
40052,0,1
40053,0,1
40057,0,1
40058,0,1
40059,0,1
40064,0,1
40271,1,0
40280,1,0
40538,1,0
40539,1,0
41846,1,1
41856,1,1
42182,1,0
42567,0,1
42769,1,0
42770,1,0
42771,1,0
42772,1,1
42773,1,0
42774,1,0
42775,1,0
42776,1,0
42778,1,0
42779,1,0
42782,1,1
42783,1,0
42784,1,0
42785,1,0
42786,1,0
42787,1,0
42788,1,0
42789,1,1
44024,0,1
44025,0,1
44026,0,1
44028,1,0
44128,1,0
44129,1,0
44130,1,0
44131,1,0
44132,1,0
44133,1,0
44135,1,0
44136,1,0
44137,1,0
44158,0,1
45101,1,0
45240,1,0
45617,1,0
45659,1,0
45999,1,0
46018,1,0
46350,1,0
46935,1,0
47000,0,1
47501,1,0
47503,1,1
47504,1,0
47505,1,0
47506,1,0
47508,1,0
47509,1,0
47510,1,0
47511,1,0
47512,1,1
47513,1,0
47514,1,0
47515,1,0
47516,1,0
48542,0,0
48543,0,1
50292,0,1
51033,1,0
53258,1,0
54290,0,1
54315,0,1
57482,0,1
57483,0,1
57579,1,1
57667,1,1
59301,0,1
59302,0,1
59303,0,1
59305,0,0
59563,0,1
60875,0,1
