virus_taxid,vector_borne
10261,0
10271,0
10407,1
10497,0
10784,0
10788,0
11020,1
11021,1
11023,1
11024,1
11029,1
11033,1
11034,1
11036,1
11039,1
11053,1
11060,1
11069,1
11070,1
11072,1
11077,1
11079,1
11080,1
11082,1
11083,1
11084,1
11085,1
11086,1
11089,1
11099,1
11277,0
11303,0
11318,1
11569,1
11574,0
11575,0
11577,0
11580,0
11582,0
11588,0
11591,0
11788,0
11827,1
11864,0
11901,1
11976,0
12063,1
12072,1
12542,1
28314,0
28344,0
31657,0
31658,0
33720,0
34613,0
35279,0
35305,0
35307,0
35308,0
35313,0
35316,0
35318,0
35320,0
35327,0
35332,0
35338,0
35511,0
35513,0
35514,0
35515,0
35516,0
37124,1
38837,0
40004,0
40012,0
40051,0
40052,1
40053,1
40054,0
40056,0
40060,0
40061,0
40062,0
40064,1
40065,0
40067,0
44024,1
44027,0
45029,0
45032,0
45269,0
45270,0
45767,0
45768,0
46839,0
47300,0
47465,0
48542,1
48543,1
53017,0
59301,1
59302,1
59303,1
59304,0
59305,1
59509,0
60875,1
60876,1
60879,0
62352,0
64286,1
64287,0
64288,0
64290,1
64292,1
64293,1
64295,0
64296,0
64297,0
64305,1
64307,0
64308,0
64310,0
64311,1
64318,1
64320,1
66264,0
68887,1
70566,0
72149,1
77204,0
77763,1
80937,0
80942,0
85708,1
94966,0
94967,0
104580,1
104581,0
108088,0
108089,0
118655,0
129726,1
129727,1
159137,0
159138,0
159140,0
159141,0
159142,0
159150,0
159151,0
164416,1
172148,1
172296,0
177895,0
177898,0
178787,0
181003,1
185638,0
192196,0
194540,0
194675,0
195055,1
196403,0
198421,0
200401,0
200402,0
200403,0
200404,0
201466,0
201490,0
204269,0
206378,0
218849,0
246280,0
248058,0
267783,0
272636,1
273343,0
273349,0
273357,1
273358,0
273359,0
273360,0
301964,0
306276,0
311554,0
318836,0
318844,0
318845,0
318849,0
318852,0
332097,1
341721,0
348009,0
348010,0
348014,0
348026,0
349066,0
358764,0
365047,0
374448,0
380160,0
380435,0
380442,0
390844,0
390845,0
442712,0
442713,0
464979,0
478577,0
487050,0
487097,0
487098,0
487102,0
490110,0
490111,0
498356,0
499854,0
500324,0
507486,1
526523,0
537023,0
543721,0
544571,0
552554,0
559180,0
562957,0
577122,0
595217,0
603003,0
611708,1
631267,0
643132,0
644609,0
644610,0
649187,0
667516,0
673515,0
687386,0
688436,0
688437,0
690897,0
694009,1
698672,0
707546,0
742825,0
748192,0
864693,0
864698,0
881914,0
908872,0
908873,0
932699,0
932700,0
936308,0
941340,0
985683,0
999729,0
1001303,1
1002273,1
1003835,0
1010666,0
1010669,0
1027466,0
1034771,0
1034791,0
1034792,0
1034793,0
1034795,0
1034800,0
1034803,0
1034805,0
1041933,0
1046551,0
1048536,0
1076255,0
1096141,0
1105173,0
1125677,0
1126383,0
1126384,0
1133363,0
1170505,0
1170506,0
1172985,1
1204160,0
1204161,0
1213620,0
1213621,0
1216928,0
1217821,0
1219465,0
1229186,0
1230254,0
1231903,0
1244565,0
1254420,0
1271872,0
1271873,0
1272940,0
1272942,0
1272943,0
1272945,0
1272946,0
1272949,0
1272952,0
1272955,0
1272958,0
1272959,0
1272960,0
1272961,0
1272962,0
1286143,0
1289939,0
1302179,0
1335626,1
1399582,0
1406950,0
1407072,0
1408137,0
1414603,0
1424280,0
1427476,0
1428456,0
1428581,0
1428582,0
1428763,0
1435294,0
1440170,1
1445557,0
1453404,0
1453408,1
1453409,0
1453410,0
1456752,0
1457166,0
1459044,0
1471048,0
1479613,0
1484570,0
1484571,0
1484573,0
1485186,0
1489102,0
1501396,1
1513199,0
1526514,0
1526521,0
1526522,0
1530251,0
1531283,0
1531287,0
1534467,0
1534468,0
1552845,0
1552846,0
1562507,0
1564099,0
1564119,0
1564120,0
1564122,0
1565590,0
1565591,0
1567404,0
1569258,0
1569259,0
1569922,0
1590835,0
1597962,1
1607696,0
1608040,0
1608043,0
1608046,0
1608047,0
1608049,0
1608056,0
1608059,0
1608077,0
1608083,0
1608084,0
1608085,0
1608089,0
1608090,0
1608094,0
1608128,0
1608129,0
1608130,0
1608131,0
1608132,0
1608134,0
1608138,0
1608142,0
1608145,0
1608146,0
1608147,0
1610817,0
1610820,0
1611039,0
1618189,1
1618254,0
1619662,0
1620507,0
1620895,0
1620896,0
1623310,0
1628184,0
1628186,0
1633878,0
1634381,0
1642042,0
1642852,0
1653304,0
1678230,1
1678231,0
1678234,0
1679172,0
1692255,0
1697349,0
1708574,0
1708654,0
1712570,0
1746058,0
1752929,0
1756186,0
1758878,0
1763596,0
1763623,0
1764076,1
1766829,0
1769781,0
1803034,0
1803263,0
1803956,1
1805494,0
1807813,0
1814226,0
1819301,0
1819302,0
1819303,0
1819304,0
1819306,0
1819307,0
1820046,0
1821222,0
1821227,0
