virus_taxid,virus_name,virus_family,virus_genus,vector_groups,vector_borne_to_humans,model_predicted,correctly_classified
1002273,Avian gyrovirus 2,Anelloviridae,Gyrovirus,tick,1,1,True
1034791,Mosquito VEM Anellovirus SDBVL B,Anelloviridae,,mosquito,0,1,False
1034792,Mosquito VEM Anellovirus SDRB A,Anelloviridae,Wawtorquevirus,mosquito,0,1,False
1034793,Mosquito VEM Anellovirus SDRB B,Anelloviridae,,mosquito,0,1,False
1610820,Nayun tick torquevirus,Anelloviridae,Thetatorquevirus,tick,0,0,True
2025480,Tick associated torque teno virus,Anelloviridae,Petorquevirus,tick,0,1,False
2951473,Tick-associated anellovirus 1,Anelloviridae,,tick,0,1,False
2951474,Tick-associated anellovirus 10,Anelloviridae,,tick,0,0,True
2951475,Tick-associated anellovirus 2,Anelloviridae,,tick,0,0,True
2951476,Tick-associated anellovirus 3,Anelloviridae,,tick,0,0,True
2951477,Tick-associated anellovirus 4,Anelloviridae,,tick,0,0,True
2951478,Tick-associated anellovirus 5,Anelloviridae,,tick,0,0,True
2951479,Tick-associated anellovirus 6,Anelloviridae,,tick,0,1,False
2951480,Tick-associated anellovirus 7,Anelloviridae,,tick,0,1,False
2951481,Tick-associated anellovirus 8,Anelloviridae,,tick,0,1,False
2951482,Tick-associated anellovirus 9,Anelloviridae,,tick,0,1,False
687386,Torque teno sus virus 1a,Anelloviridae,Iotatorquevirus,mosquito,0,1,False
68887,Torque teno virus,Anelloviridae,,mosquito,1,0,False
2847851,mosquito VEM Anellovirus SDBVL,Anelloviridae,Aleptorquevirus,mosquito,0,1,False
1034771,uncultured Anellovirus,Anelloviridae,,mosquito,0,1,False
3052303,Mammarenavirus choriomeningitidis,Arenaviridae,Mammarenavirus,tick,1,1,True
3052328,Mammarenavirus tacaribeense,Arenaviridae,Mammarenavirus,tick,1,1,True
3052329,Mammarenavirus tamiamiense,Arenaviridae,Mammarenavirus,tick,1,1,True
2810711,Hedgehog arterivirus,Arteriviridae,,tick,0,0,True
28344,Porcine reproductive and respiratory syndrome virus,Arteriviridae,Betaarterivirus,mosquito,0,1,False
10497,African swine fever virus,Asfarviridae,Asfivirus,tick,0,1,False
2304505,Culex Bastrovirus-like virus,Astroviridae,,mosquito,0,0,True
2902639,Pyongtaek Culex bastrovirus,Astroviridae,,mosquito,0,0,True
2740136,Solanum melongena bastro-like virus,Astroviridae,,tick,0,0,True
3081665,Cambodia Culex birnavirus,Birnaviridae,,mosquito,0,1,False
1230254,Culex Y virus,Birnaviridae,,mosquito,0,0,True
3401101,Hebei birna-like virus 1,Birnaviridae,,tick,0,0,True
2994983,Harg calici-like virus,Caliciviridae,,tick,0,0,True
11976,Rabbit hemorrhagic disease virus,Caliciviridae,Lagovirus,tick,0,1,False
2079604,Blacklegged tick chuvirus 2,Chuviridae,Nigecruvirus,tick,0,0,True
3377596,Carajas chuvirus,Chuviridae,Chuvivirus,biting_midge,0,0,True
2809007,Chuviridae sp.,Chuviridae,,biting_midge,0,0,True
2304484,Culex mosquito virus 4,Chuviridae,Culicidavirus,mosquito,0,0,True
