virus_taxid,vir2vec_seen
1172985,1
2269360,0
172148,1
64280,0
64303,0
64290,0
64305,0
12637,1
11053,1
11060,1
11069,1
11070,1
59563,0
11072,1
64311,0
44024,0
44025,0
11077,1
33743,1
11085,0
11086,0
64300,0
64312,0
11079,0
64292,0
12542,0
11083,1
64285,0
64315,0
44026,0
64318,0
11080,0
64293,1
11084,1
64286,1
164416,0
11082,1
11089,1
64320,1
41856,1
40271,1
356114,1
33745,1
33746,1
42182,1
1544901,1
3052230,1
3052236,0
54290,1
1704090,0
1758225,0
2594177,1
11099,1
54315,1
352770,1
102801,1
114727,1
114728,1
114729,1
157802,1
119210,1
215851,1
102800,1
102793,1
329376,1
119214,1
119215,1
325678,1
119218,1
333278,1
102796,1
11320,1
11520,1
1618189,0
2137161,0
11318,0
11569,0
10407,1
489455,1
489460,1
2764122,1
2847137,1
2847138,1
2847139,1
2847140,1
2847141,1
106820,1
106821,1
621278,1
2025360,0
10279,0
32605,1
28873,0
10243,0
12643,0
397342,1
10244,1
2200830,0
10245,1
12870,0
53258,0
10255,0
129727,0
10258,0
129726,0
187984,0
99000,0
38804,0
132475,0
3052121,0
133704,0
85708,1
1572667,0
742919,0
742925,0
742924,0
1348500,0
2038719,0
2038728,0
1987745,0
2169855,0
2038720,0
2038721,0
2038723,0
2038724,0
2038725,0
2038727,0
1573584,0
2017081,0
2017082,0
2017083,0
2017080,0
1965018,0
2714898,0
2714899,0
2057509,0
2169934,0
2169935,0
2169936,0
1595998,0
2530494,0
2170113,0
2170114,0
2496633,0
1820159,0
1914415,0
145856,0
86782,1
93830,0
2259728,0
1980456,1
3052474,0
3052477,0
3052480,1
3052493,1
3052498,1
3052499,0
3052503,1
3052789,0
2609450,0
2748253,0
2748252,0
2170060,0
611708,0
1501396,1
1764076,0
507486,0
1678227,0
348008,0
273357,1
2748254,0
3052370,0
3052371,0
3052381,1
3052385,0
3052387,0
3052390,0
3052391,0
3052397,0
1933180,0
3052399,0
3052401,0
3052402,0
3052404,0
3052406,0
3052407,0
3052409,0
3052413,0
3052414,0
3052418,0
3052420,0
3052424,0
3052428,0
3052429,1
3052431,0
3052439,0
3052440,0
3052444,0
3052445,0
3052446,0
3052456,0
181003,0
348011,0
1678230,0
273348,1
2583509,0
1862824,0
1488574,0
1588761,0
1588762,0
1673681,0
1588764,0
1588765,0
1588766,0
2004487,0
2004957,0
2004961,0
2004962,0
1516081,0
1985415,0
2853105,0
3052299,0
3052300,0
3052302,0
3052303,0
3052305,0
3052307,0
2169991,0
3052310,1
3052314,0
3052317,0
3052328,0
3052329,0
3052330,0
3052331,0
248062,0
1453408,0
3052510,0
3052514,0
3052518,1
3052523,0
3052525,0
3051989,0
2748958,1
3051992,0
1001303,1
1933190,0
1000647,0
2734436,0
3052637,0
3052640,0
3052641,0
3052647,0
3052660,0
3052665,0
3052676,1
1848960,0
3052684,0
3052686,0
1048856,0
688699,0
1000649,0
2576944,0
3052801,0
3052811,0
291484,0
185579,1
509628,1
185580,1
1678143,1
1678145,0
11041,0
1812175,0
1136260,0
50292,0
10359,1
10376,1
37296,0
10381,0
32603,0
32604,0
10372,0
10298,1
10310,0
10325,0
10353,0
10335,1
10345,1
1341019,0
44158,0
48540,1
11020,0
59305,0
37124,1
11021,1
2083198,0
59300,0
11024,0
79899,0
48542,1
1440170,0
59301,0
11023,0
2083199,0
60875,0
59302,0
31699,1
2169701,0
60876,0
332097,0
11029,1
59303,0
11033,0
11034,1
84272,1
60877,0
11036,1
11039,0
48543,0
1714621,0
1714619,0
1897087,0
3052181,0
565995,0
186539,0
186540,0
186541,0
186538,1
3052505,0
3052221,0
3052223,0
3052225,0
11234,1
658048,1
1511733,1
170525,1
170528,1
1056491,1
1056492,1
763792,1
132484,1
3052342,1
2560319,1
2560321,0
159079,1
2560525,1
2560526,0
11224,0
11226,0
2560580,0
2560602,1
1395181,1
1395182,1
1428458,1
1395179,1
1384673,1
1384672,1
1395180,1
1578041,1
1395183,1
3052561,0
3052224,0
3052599,0
3052600,0
3052602,0
12730,1
11216,1
162145,1
11250,1
208893,1
208895,1
11263,0
12814,1
1972587,0
1978540,0
57482,1
57483,0
90961,0
38767,0
38766,0
12538,0
642022,0
11292,1
11276,0
1972579,0
1972576,0
1972577,1
1972568,0
1972574,0
1972578,1
1972575,0
749224,0
11153,1
11137,1
277944,1
270642,1
694003,1
1263720,1
1235996,1
1298362,1
1306931,1
290028,0
31631,1
166124,1
1335626,1
11138,0
228407,1
321147,1
511429,1
511430,1
511431,1
511432,1
511433,1
321149,1
228415,1
388737,1
228404,1
627442,1
253433,1
253434,1
253435,1
228330,1
247149,1
353145,1
2697049,1
694009,1
1965089,1
694014,1
11120,1
2749448,0
2749449,0
2749450,0
11855,0
11757,0
11901,0
11908,0
11909,0
28332,0
318279,0
188539,0
114654,0
11840,0
11786,0
933438,0
11970,0
438045,0
11837,0
433832,0
12721,0
11676,1
11709,0
11723,1
57667,0
11827,0
45617,0
11963,0
11642,0
338079,0
2170195,0
2170197,0
3051624,0
3052040,1
329641,1
689403,1
573977,0
1511880,0
1511881,0
2773471,0
1511882,0
638313,1
1511883,0
1108925,1
1108926,1
394504,1
430048,1
444473,1
272636,0
85106,0
46350,0
57579,0
68558,0
10804,0
82300,0
1511894,0
3052189,0
72197,0
289365,0
1511919,0
99565,1
270370,1
258453,1
122928,1
122929,1
340017,1
262897,1
2594528,1
336619,1
290280,1
370037,1
379081,1
296145,1
272576,1
272575,1
272570,1
272573,1
272571,1
272572,1
272574,1
1261195,1
1261196,1
1261197,1
1261198,1
1261199,1
1261200,1
1261201,1
1261202,1
1261203,1
1261204,1
1261205,1
1261206,1
1261207,1
1261208,1
1261209,1
1261210,1
1261211,1
