virus_taxid,cluster_id,is_representative,cluster_size
10261,0,True,2
1928336,0,False,2
10497,1,True,1
1076255,2,True,1
10271,3,True,1
129726,4,True,1
129727,5,True,1
1335626,6,True,1
694009,7,True,1
2419667,8,True,1
2816848,9,True,1
1608138,10,True,2
2569751,10,False,2
2689355,11,True,1
1955163,12,True,1
3377600,13,False,2
3467558,13,True,2
2686042,14,True,1
2972099,15,True,1
3394922,16,True,1
2704634,17,True,1
3061651,18,True,1
1746058,19,True,1
2950731,20,True,1
194540,21,True,1
2593991,22,True,1
318836,23,True,1
2972329,24,True,1
1272946,25,True,1
3397829,26,True,1
2304647,27,True,3
2789418,27,False,3
3061650,27,False,3
318835,28,False,2
1229186,28,True,2
28344,29,True,1
3433940,30,True,1
1272955,31,True,1
11303,32,True,1
1857750,33,False,5
2034329,33,False,5
3095226,33,False,5
2960865,33,False,5
1971396,33,True,5
2951465,34,True,1
2983978,35,True,1
3377089,36,True,1
2079603,37,True,1
1608047,38,True,2
2461427,38,False,2
380160,39,True,1
3685803,40,True,1
1272960,41,True,1
2083159,42,False,5
2125980,42,False,5
2607740,42,False,5
2741540,42,False,5
2741539,42,True,5
3467557,43,True,1
2950737,44,True,1
864693,45,True,1
2972221,46,True,2
2809595,46,False,2
1526514,47,True,1
2079605,48,True,1
2683622,49,False,2
3467837,49,True,2
1272949,50,True,1
1608134,51,True,1
2116536,52,True,1
2972327,53,True,2
3406651,53,False,2
2977134,54,True,1
3052520,55,True,1
380435,56,True,1
487050,57,True,1
1608089,58,True,1
3052518,59,True,1
318844,60,True,2
909207,60,False,2
1819301,61,True,1
1608049,62,True,1
200402,63,True,1
1620895,64,True,1
318845,65,True,1
1972626,66,True,1
490110,67,True,1
2021721,68,True,1
1272943,69,True,1
1272958,70,True,1
3426274,71,True,1
200404,72,True,1
200401,73,True,1
1955137,74,True,2
2972334,74,False,2
2585232,75,False,2
2972303,75,True,2
1972612,76,True,1
200403,77,True,1
2972217,78,True,1
1620891,79,False,2
932699,79,True,2
932700,80,True,1
2972331,81,True,1
11099,82,True,1
490111,83,True,1
1977074,84,True,1
2713211,85,True,1
864698,86,True,1
2994984,87,True,1
1272942,88,True,1
358764,89,True,1
498356,90,True,1
1619662,91,True,1
3391820,92,True,1
2748252,93,True,1
3052514,94,True,1
1453410,95,True,2
3052538,95,False,2
1272959,96,True,1
1453408,97,True,1
3467561,98,True,1
1608083,99,True,1
3383105,100,True,1
2499242,101,True,1
2892543,102,True,2
2966561,102,False,2
2825847,103,True,1
2849717,104,True,1
3064181,105,True,2
3015524,105,False,2
3052510,106,True,1
2972220,107,True,1
3060506,108,True,1
3459235,109,True,1
3366332,110,True,2
3406585,110,False,2
248058,111,True,1
1608094,112,True,1
3467368,113,True,1
1272940,114,True,1
2689335,115,True,1
2079606,116,True,1
1453404,117,True,1
3072947,118,False,3
3081666,118,True,3
3430799,118,False,3
3248547,119,True,1
2795181,120,True,1
2972218,121,True,1
37124,122,True,2
3426298,122,False,2
2980584,123,True,1
1971604,124,False,4
2983972,124,True,4
2972219,124,False,4
3042513,124,False,4
3052511,125,True,1
2737675,126,True,1
1271870,127,False,2
1803034,127,True,2
3052529,128,True,1
2972223,129,True,1
2980578,130,True,1
3239343,131,True,1
59304,132,True,1
2304515,133,True,1
2725580,134,True,1
11029,135,True,1
1608041,136,False,2
2843859,136,True,2
2811963,137,True,1
1712570,138,True,1
2170061,139,True,1
1272961,140,True,1
2943855,141,True,1
3052534,142,True,1
59305,143,True,1
1479613,144,True,1
2170057,145,True,1
1424280,146,True,1
3467562,147,True,1
2169701,148,True,1
3394921,149,True,1
2996457,150,True,1
11033,151,True,2
177899,151,False,2
3052512,152,True,1
1271871,153,False,4
1969830,153,True,4
2053815,153,False,4
3092212,153,False,4
3416183,154,True,1
3071239,155,False,3
2972324,155,False,3
2972335,155,True,3
11021,156,True,1
644609,157,True,1
11084,158,True,1
1231903,159,True,1
1803263,160,True,1
1453409,161,True,1
11034,162,True,3
48540,162,False,3
44419,162,False,3
59300,163,False,2
59303,163,True,2
59302,164,True,1
3015532,165,True,1
11023,166,True,1
2972323,167,True,1
644610,168,True,1
11020,169,True,1
1440170,170,True,1
2040592,171,True,1
48543,172,True,1
1194329,173,False,2
2679909,173,True,2
48542,174,True,1
2684265,175,True,1
11039,176,True,1
2972320,177,False,2
3241517,177,True,2
59301,178,True,1
2072351,179,True,1
3077879,180,True,1
427633,181,False,4
427635,181,False,4
552741,181,False,4
698672,181,True,4
11024,182,True,1
2010277,183,True,1
2079604,184,True,1
2704630,185,True,1
3015530,186,True,1
1756186,187,True,1
2983975,188,True,2
3396456,188,False,2
332098,189,False,2
332097,189,True,2
1972683,190,True,1
2951068,191,True,1
2977131,192,True,1
2560016,193,True,1
2601858,194,True,1
11036,195,True,1
3426305,196,True,1
2972321,197,True,1
2083198,198,True,1
60875,199,True,1
60879,200,True,1
1930825,201,True,1
218849,202,True,1
2983974,203,True,2
2972328,203,False,2
11082,204,True,3
406269,204,False,3
2421439,204,False,3
2972339,205,False,3
3396454,205,False,3
3396455,205,True,3
60876,206,True,1
1758878,207,True,1
3078403,208,True,1
2849718,209,True,1
1608090,210,True,1
1972684,211,True,1
1569259,212,True,1
3078402,213,True,1
2304485,214,True,1
1620507,215,True,1
936308,216,True,1
318852,217,True,1
3393476,218,True,1
1620896,219,True,1
1569258,220,True,1
1272945,221,True,1
2602438,222,True,1
2904963,223,True,1
1972567,224,True,1
1459044,225,True,1
1272962,226,True,1
2972325,227,True,1
2972326,228,True,1
1272952,229,True,1
2304484,230,True,1
2315722,231,True,1
2848310,232,True,1
3345038,233,True,1
1972568,234,True,1
1272941,235,False,2
1428456,235,True,2
64320,236,True,1
3014795,237,True,1
1972569,238,True,1
390845,239,True,2
2045187,239,False,2
12542,240,True,1
11089,241,True,1
11072,242,True,1
64286,243,True,2
3048443,243,False,2
2749850,244,False,2
3043598,244,True,2
3467566,245,True,1
2421440,246,True,2
3048448,246,False,2
3401104,247,True,2
3433931,247,False,2
1972570,248,True,1
64293,249,True,1
11079,250,True,1
3046277,251,False,2
3045052,251,True,2
2959765,252,True,1
1399582,253,True,1
2972340,254,True,1
3467800,255,True,1
2498143,256,True,1
40004,257,True,1
380442,258,True,1
2817035,259,False,2
2952040,259,True,2
3467602,260,True,1
64290,261,True,1
2970553,262,True,1
390844,263,True,1
11085,264,True,1
64292,265,True,1
11080,266,True,2
3052468,266,False,2
1708574,267,True,1
58535,268,False,2
11083,268,True,2
577122,269,True,1
1972682,270,True,1
2751816,271,True,1
1610818,272,False,3
2569609,272,True,3
3241519,272,False,3
2972336,273,True,1
478577,274,True,1
2877507,275,True,1
44027,276,True,1
1963247,277,True,1
1708654,278,True,1
1485186,279,True,1
643132,280,True,1
560249,281,False,10
