virus_taxid,cluster_id,is_representative,cluster_size
10359,0,True,1
50292,1,True,1
12870,2,False,3
10243,2,True,3
32605,2,False,3
2200830,3,True,1
397342,4,True,1
12643,5,True,1
28873,6,True,1
2025360,7,True,1
10244,8,True,1
10245,9,True,1
10279,10,True,1
53258,11,True,1
10255,12,True,1
10376,13,True,1
32604,14,True,1
32603,15,True,1
10325,16,True,1
10353,17,True,1
10310,18,True,1
10372,19,True,1
10298,20,True,1
129726,21,True,1
99000,22,True,2
132475,22,False,2
10345,23,True,1
10258,24,True,1
37296,25,True,1
38804,26,True,1
129727,27,True,1
187984,28,True,1
10335,29,True,1
10381,30,True,1
180170,31,True,1
1788433,32,True,1
585088,33,True,1
585087,34,True,1
585078,35,False,3
585098,35,True,3
585099,35,False,3
585068,36,True,1
585093,37,False,2
585094,37,True,2
1788432,38,True,1
585077,39,True,1
585079,40,True,1
585071,41,True,2
585064,41,False,2
585060,42,True,1
585073,43,True,1
585072,44,True,1
10533,45,True,1
130308,46,True,1
28280,47,True,1
28285,48,True,1
10515,49,True,2
129951,49,False,2
107462,50,False,3
585096,50,True,3
31544,50,False,3
585067,51,True,1
585084,52,True,1
585063,53,True,1
585085,54,True,1
585080,55,True,1
585089,56,True,1
585066,57,True,1
585081,58,True,1
10519,59,True,2
108098,59,False,2
459785,60,True,1
1337398,61,True,1
45659,62,True,1
28275,63,False,30
46921,63,False,30
28276,63,False,30
46922,63,False,30
88059,63,True,30
28278,63,False,30
46923,63,False,30
46924,63,False,30
46925,63,False,30
46926,63,False,30
46927,63,False,30
46928,63,False,30
46929,63,False,30
46930,63,False,30
46931,63,False,30
46932,63,False,30
46933,63,False,30
46934,63,False,30
46943,63,False,30
46937,63,False,30
46938,63,False,30
46939,63,False,30
46940,63,False,30
46941,63,False,30
46942,63,False,30
39641,63,False,30
218120,63,False,30
31545,63,False,30
1145295,63,False,30
52275,63,False,30
260047,64,True,1
1972755,65,False,2
980087,65,True,2
1643649,66,True,2
10527,66,False,2
1094363,67,True,1
1124795,68,True,1
2461378,69,True,1
1091197,70,True,1
1604283,71,True,1
1091198,72,True,1
245072,73,True,2
46936,73,False,2
130310,74,True,1
585095,75,True,1
1101371,76,True,1
880565,77,True,1
651580,78,True,1
556926,79,True,1
10522,80,True,1
10548,81,False,4
1461395,81,True,4
10541,81,False,4
10521,81,False,4
714978,82,True,1
536079,83,True,1
130309,84,True,2
28284,84,False,2
10528,85,True,1
129875,86,True,2
28282,86,False,2
10524,87,True,1
11138,88,True,1
166124,89,False,5
2749449,89,False,5
2749450,89,False,5
2749448,89,False,5
694003,89,True,5
31631,90,True,1
1298362,91,False,5
1306931,91,False,5
1235996,91,False,5
1335626,91,True,5
1263720,91,False,5
290028,92,True,1
694009,93,True,2
2697049,93,False,2
228415,94,False,18
253433,94,False,18
253434,94,False,18
253435,94,False,18
247149,94,False,18
228407,94,False,18
321147,94,False,18
321149,94,False,18
353145,94,False,18
388737,94,False,18
511432,94,False,18
511433,94,False,18
511430,94,False,18
511431,94,False,18
511429,94,False,18
627442,94,False,18
228404,94,False,18
228330,94,True,18
694014,95,True,1
11120,96,True,1
